"Quantidade de alunos ativos em 2021, por curso.",,,
Estão incluídos os alunos que tiveram vínculo em algum momento de um ou dos dois semestres do ano sendo consultado. O vínculo não implica necessariamente ter feito matrícula.,,,
Cód.,EMEC,Curso,Alunos ativos
13301100,13434,ADMINISTRAÇÃO - D,325
13301200,13434,ADMINISTRAÇÃO - N,192
31301200,118546,ADMINISTRAÇÃO - N,206
91402100,99800,AGRONOMIA - D,316
15101100,1129147,ARQUITETURA E URBANISMO - D,225
13317100,21164,ARTE E MÍDIA - D,150
14102100,13446,CIÊNCIA DA COMPUTAÇÃO - D,898
41201110,99802,CIÊNCIAS BIOLÓGICAS (LIC) - D,145
51201110,99804,CIÊNCIAS BIOLÓGICAS (LIC) - D,115
21201110,1152882,CIÊNCIAS BIOLÓGICAS (LIC) - M,147
41201210,99802,CIÊNCIAS BIOLÓGICAS (LIC) - N,194
51201210,99804,CIÊNCIAS BIOLÓGICAS (LIC) - N,157
31360200,79567,CIÊNCIAS CONTÁBEIS - N,241
13304100,13451,CIÊNCIAS ECONÔMICAS - M,139
13304200,13451,CIÊNCIAS ECONÔMICAS - N,148
13305150,313436,CIÊNCIAS SOCIAIS (BAC) - D,76
13305210,13436,CIÊNCIAS SOCIAIS (LIC) - N,154
71305210,1106595,CIÊNCIAS SOCIAIS (LIC) - N,184
13306100,1149786,COMUNICAÇÃO SOCIAL - D,138
13306200,1149786,COMUNICAÇÃO SOCIAL - N,147
11104120,13447,DESIGN - D,238
31350100,13433,DIREITO - M,311
31350200,13433,DIREITO - N,315
31350300,13433,DIREITO - V,318
12204100,1134328,ENFERMAGEM - D,238
21204100,79572,ENFERMAGEM - D,273
51204100,107492,ENFERMAGEM - D,284
71132100,1106561,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,100
15121100,13440,ENGENHARIA AGRÍCOLA - D,135
91130100,112282,ENGENHARIA AMBIENTAL - D,176
15122100,13439,ENGENHARIA CIVIL - D,558
91122100,1280408,ENGENHARIA CIVIL - D,400
15125100,118550,ENGENHARIA DE ALIMENTOS - D,130
91125100,112294,ENGENHARIA DE ALIMENTOS - D,221
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS - D,105
11126100,13445,ENGENHARIA DE MATERIAIS - D,179
15127100,13444,ENGENHARIA DE MINAS - D,122
11135100,118562,ENGENHARIA DE PETRÓLEO - D,137
11133100,79570,ENGENHARIA DE PRODUÇÃO - D,172
71133100,1106578,ENGENHARIA DE PRODUÇÃO - D,151
14123100,13438,ENGENHARIA ELÉTRICA,989
41403100,13456,ENGENHARIA FLORESTAL - D,115
11124100,13442,ENGENHARIA MECÂNICA - D,344
11128100,13441,ENGENHARIA QUÍMICA - D,224
11134100,1120733,ESTATÍSTICA - D,70
51203100,107495,FARMÁCIA - D,438
13314250,121366,FILOSOFIA (BAC) - N,45
13314210,121367,FILOSOFIA (LIC) - N,58
11105150,318388,FÍSICA (BAC) - D,37
11105110,1204358,FÍSICA (LIC) - D,59
51105110,99810,FÍSICA (LIC) - D,86
21105210,1152879,FÍSICA (LIC) - N,137
51105210,99810,FÍSICA (LIC) - N,98
13316110,120777,GEOGRAFIA (LIC) - M,122
13316210,120777,GEOGRAFIA (LIC) - N,131
21316110,13407,GEOGRAFIA (LICENCIATURA) - M,173
21316210,13407,GEOGRAFIA (LICENCIATURA) - N,165
13309110,13449,HISTÓRIA (LIC) - D,150
21309110,13405,HISTÓRIA (LIC) - M,183
13309210,13449,HISTÓRIA (LIC) - N,164
21309210,13405,HISTÓRIA (LIC) - N,231
71315110,1106596,INTERDISCIPLINAR EM EDUC. DO CAMPO(LIC)D,129
13310214,43962,LETRAS - ESPANHOL (LICENCIATURA) N,72
13323110,1364560,LETRAS - LIBRAS (LIC) - D,91
13310115,1158117,LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,66
13310116,1158907,LETRAS - LÍNGUA INGLESA (LIC) - D,78
21310116,1162185,LETRAS - LÍNGUA INGLESA (LIC) - D,97
21310110,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - M,101
13310210,1158116,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,115
21310210,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,184
13310110,1158116,LETRAS- LÍNGUA PORTUGUESA (LIC) - D,131
13345110,1184381,LICENCIATURA INTERCULTURAL INDÍGENA - D,13
11107150,313448,MATEMÁTICA (BAC) - D,27
11107110,13448,MATEMÁTICA (LIC) - D,65
21107110,1152880,MATEMÁTICA (LIC) - D,122
51107110,99806,MATEMÁTICA (LIC) - D,96
19107110,13448,MATEMÁTICA (LIC) - D (PARFOR),5
11107210,13448,MATEMÁTICA (LIC) - N,85
51107210,99806,MATEMÁTICA (LIC) - N,98
12205100,13453,MEDICINA,549
21205100,1101742,MEDICINA,192
41410100,13437,MEDICINA VETERINÁRIA - D,532
15108100,13435,METEOROLOGIA - D,93
13311150,118632,MÚSICA (BAC) - D,39
13311110,118630,MÚSICA (LIC) - D,74
51206100,118910,NUTRIÇÃO - D,397
41207100,122676,ODONTOLOGIA - D,438
13312110,13452,PEDAGOGIA (LIC) - M,115
13312210,13452,PEDAGOGIA (LIC) - N,120
21312110,13410,PEDAGOGIA (LICENCIATURA) - M,184
21312210,13410,PEDAGOGIA (LICENCIATURA) - N,224
12208100,1108087,PSICOLOGIA - D,397
12208200,1108087,PSICOLOGIA - N,30
51109110,99808,QUÍMICA (LIC) - D,91
21109210,1152881,QUÍMICA (LIC) - N,143
51109210,99808,QUÍMICA (LIC) - N,107
19109210,1152881,QUÍMICA (LIC) - N (PARFOR),1
31340100,1117877,SERVIÇO SOCIAL - M,145
71420100,1150096,TECNOLOGIA EM AGROECOLOGIA - D,96
