"Quantidade de alunos ativos em 2020, por curso.",,,
Estão incluídos os alunos que tiveram vínculo em algum momento de um ou dos dois semestres do ano sendo consultado. O vínculo não implica necessariamente ter feito matrícula.,,,
Cód.,EMEC,Curso,Alunos ativos
13301100,13434,ADMINISTRAÇÃO - D,322
13301200,13434,ADMINISTRAÇÃO - N,191
31301200,118546,ADMINISTRAÇÃO - N,231
91402100,99800,AGRONOMIA - D,348
15101100,1129147,ARQUITETURA E URBANISMO - D,220
13317100,21164,ARTE E MÍDIA - D,142
14102100,13446,CIÊNCIA DA COMPUTAÇÃO - D,907
41201110,99802,CIÊNCIAS BIOLÓGICAS (LIC) - D,160
51201110,99804,CIÊNCIAS BIOLÓGICAS (LIC) - D,120
21201110,1152882,CIÊNCIAS BIOLÓGICAS (LIC) - M,152
41201210,99802,CIÊNCIAS BIOLÓGICAS (LIC) - N,204
51201210,99804,CIÊNCIAS BIOLÓGICAS (LIC) - N,158
31360200,79567,CIÊNCIAS CONTÁBEIS - N,258
13304100,13451,CIÊNCIAS ECONÔMICAS - M,145
13304200,13451,CIÊNCIAS ECONÔMICAS - N,148
13305150,313436,CIÊNCIAS SOCIAIS (BAC) - D,82
13305210,13436,CIÊNCIAS SOCIAIS (LIC) - N,147
71305210,1106595,CIÊNCIAS SOCIAIS (LIC) - N,156
13306100,1149786,COMUNICAÇÃO SOCIAL - D,145
13306200,1149786,COMUNICAÇÃO SOCIAL - N,144
11104120,13447,DESIGN - D,219
31350100,13433,DIREITO - M,313
31350200,13433,DIREITO - N,342
31350300,13433,DIREITO - V,324
12204100,1134328,ENFERMAGEM - D,234
21204100,79572,ENFERMAGEM - D,257
51204100,107492,ENFERMAGEM - D,285
71132100,1106561,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,144
15121100,13440,ENGENHARIA AGRÍCOLA - D,148
91130100,112282,ENGENHARIA AMBIENTAL - D,229
15122100,13439,ENGENHARIA CIVIL - D,575
91122100,1280408,ENGENHARIA CIVIL - D,421
15125100,118550,ENGENHARIA DE ALIMENTOS - D,138
91125100,112294,ENGENHARIA DE ALIMENTOS - D,233
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS - D,127
11126100,13445,ENGENHARIA DE MATERIAIS - D,186
15127100,13444,ENGENHARIA DE MINAS - D,145
11135100,118562,ENGENHARIA DE PETRÓLEO - D,145
11133100,79570,ENGENHARIA DE PRODUÇÃO - D,189
71133100,1106578,ENGENHARIA DE PRODUÇÃO - D,181
14123100,13438,ENGENHARIA ELÉTRICA,1046
41403100,13456,ENGENHARIA FLORESTAL - D,130
