"Quantidade de alunos ativos em 2023, por curso.",,,
Estão incluídos os alunos que tiveram vínculo em algum momento de um ou dos dois semestres do ano sendo consultado. O vínculo não implica necessariamente ter feito matrícula.,,,
Cód.,EMEC,Curso,Alunos ativos
13323110,1364560,LETRAS - LIBRAS (LIC) - D,83
13310115,1158117,LETRAS - LÍNG.PORT./LÍNG.FRANC.(LIC)-D,59
13310116,1158907,LETRAS - LÍNGUA INGLESA (LIC) - D,90
21310116,1162185,LETRAS - LÍNGUA INGLESA (LIC) - D,86
21310110,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - M,90
13310210,1158116,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,126
21310210,1160083,LETRAS - LÍNGUA PORTUGUESA (LIC) - N,174
13310110,1158116,LETRAS- LÍNGUA PORTUGUESA (LIC) - D,130
13345110,1184381,LICENCIATURA INTERCULTURAL INDÍGENA - D,13
11107150,313448,MATEMÁTICA (BAC) - D,25
11107110,13448,MATEMÁTICA (LIC) - D,66
21107110,1152880,MATEMÁTICA (LIC) - D,122
51107110,99806,MATEMÁTICA (LIC) - D,98
11107210,13448,MATEMÁTICA (LIC) - N,76
51107210,99806,MATEMÁTICA (LIC) - N,118
12205100,13453,MEDICINA,601
21205100,1101742,MEDICINA,185
41410100,13437,MEDICINA VETERINÁRIA - D,499
15108100,13435,METEOROLOGIA - D,59
13311150,118632,MÚSICA (BAC) - D,38
13311110,118630,MÚSICA (LIC) - D,60
51206100,118910,NUTRIÇÃO - D,318
41207100,122676,ODONTOLOGIA - D,428
13312110,13452,PEDAGOGIA (LIC) - M,128
13312210,13452,PEDAGOGIA (LIC) - N,113
21312110,13410,PEDAGOGIA (LICENCIATURA) - M,189
21312210,13410,PEDAGOGIA (LICENCIATURA) - N,233
12208100,1108087,PSICOLOGIA - D,429
12208200,1108087,PSICOLOGIA - N,7
51109110,99808,QUÍMICA (LIC) - D,74
21109210,1152881,QUÍMICA (LIC) - N,130
51109210,99808,QUÍMICA (LIC) - N,110
31340100,1117877,SERVIÇO SOCIAL - M,152
71420100,1150096,TECNOLOGIA EM AGROECOLOGIA - D,53
71318200,1135705,TECNOLOGIA EM GESTÃO PÚBLICA - N,122
