"Quantidade de alunos ativos em 2015, por curso.",,,
Estão incluídos os alunos que tiveram vínculo em algum momento de um ou dos dois semestres do ano sendo consultado. O vínculo não implica necessariamente ter feito matrícula.,,,
Cód.,EMEC,Curso,Alunos ativos
13301100,13434,ADMINISTRAÇÃO - D,342
13301200,13434,ADMINISTRAÇÃO - N,200
31301200,118546,ADMINISTRAÇÃO - N,250
91402100,99800,AGRONOMIA - D,343
15101100,1129147,ARQUITETURA E URBANISMO - D,209
13317100,21164,ARTE E MÍDIA - D,171
14102100,13446,CIÊNCIA DA COMPUTAÇÃO - D,760
21103113,13432,CIÊNCIAS - BIOLOGIA (LIC) - M,1
21103213,13432,CIÊNCIAS - BIOLOGIA (LIC) - N,5
21103114,13432,CIÊNCIAS - FÍSICA (LIC) - M,1
21103212,13432,CIÊNCIAS - MATEMÁTICA (LIC) - N,9
21103115,13432,CIÊNCIAS - QUÍMICA (LIC) - M,2
21103215,13432,CIÊNCIAS - QUÍMICA (LIC) - N,3
41201110,99802,CIÊNCIAS BIOLÓGICAS (LIC) - D,162
51201110,99804,CIÊNCIAS BIOLÓGICAS (LIC) - D,153
21201110,1152882,CIÊNCIAS BIOLÓGICAS (LIC) - M,149
41201210,99802,CIÊNCIAS BIOLÓGICAS (LIC) - N,228
51201210,99804,CIÊNCIAS BIOLÓGICAS (LIC) - N,173
31360200,79567,CIÊNCIAS CONTÁBEIS - N,265
13304100,13451,CIÊNCIAS ECONÔMICAS - M,150
13304200,13451,CIÊNCIAS ECONÔMICAS - N,194
13305150,313436,CIÊNCIAS SOCIAIS (BAC) - D,74
13305250,313436,CIÊNCIAS SOCIAIS (BAC) - N,6
13305110,13436,CIÊNCIAS SOCIAIS (LIC) - D,4
13305210,13436,CIÊNCIAS SOCIAIS (LIC) - N,164
71305210,1106595,CIÊNCIAS SOCIAIS (LIC) - N,170
13306100,1149786,COMUNICAÇÃO SOCIAL - D,143
13306200,1149786,COMUNICAÇÃO SOCIAL - N,166
11104120,13447,DESIGN - D,286
31350100,13433,DIREITO - M,289
31350200,13433,DIREITO - N,341
31350300,13433,DIREITO - V,296
12204100,1134328,ENFERMAGEM - D,255
21204100,79572,ENFERMAGEM - D,299
51204100,107492,ENFERMAGEM - D,358
71132100,1106561,ENG. DE BIOTECNOLOGIA E BIOPROCESSOS - D,160
15121100,13440,ENGENHARIA AGRÍCOLA - D,175
91130100,112282,ENGENHARIA AMBIENTAL - D,322
15122100,13439,ENGENHARIA CIVIL - D,637
91122100,1280408,ENGENHARIA CIVIL - D,128
15125100,118550,ENGENHARIA DE ALIMENTOS - D,167
91125100,112294,ENGENHARIA DE ALIMENTOS - D,299
71131100,1106562,ENGENHARIA DE BIOSSISTEMAS - D,143
11126100,13445,ENGENHARIA DE MATERIAIS - D,273
15127100,13444,ENGENHARIA DE MINAS - D,217
11135100,118562,ENGENHARIA DE PETRÓLEO - D,233
11133100,79570,ENGENHARIA DE PRODUÇÃO - D,228
