Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº de Concluintes Participantes;Nº de Concluintes Participantes com nota no Enem;Proporção de Concluintes participantes com nota no Enem;Nota Bruta - IDD;IDD (Contínuo);IDD (Faixa);Observação
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);595;UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL-MG;Universidade;Pública Federal;20122;Educação Presencial;3101607;Alfenas;MG;21;21;20;0,9524;0,0005;2,4974;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);595;UNIVERSIDADE FEDERAL DE ALFENAS;UNIFAL-MG;Universidade;Pública Federal;122772;Educação a Distância;3101607;Alfenas;MG;7;0;;;;;SC;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);596;UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI;UFVJM;Universidade;Pública Federal;100900;Educação Presencial;3121605;Diamantina;MG;54;46;45;0,9783;-0,0201;2,4909;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);597;UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO;UFTM;Universidade;Pública Federal;114562;Educação Presencial;3170107;Uberaba;MG;47;42;30;0,7143;1,8930;3,0933;4;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);598;UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI;UNIFEI;Universidade;Pública Federal;1165090;Educação Presencial;3132404;Itajubá;MG;11;11;10;0,9091;3,4515;3,5841;4;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);600;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFMA;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;62674;Educação Presencial;2111300;São Luís;MA;29;27;24;0,8889;-1,1197;2,1446;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);600;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFMA;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;1103317;Educação Presencial;2102325;Buriticupu;MA;91;87;59;0,6782;-0,4873;2,3437;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);600;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFMA;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;1168361;Educação Presencial;2112209;Timon;MA;8;7;7;1,0000;-7,9297;0,0000;1;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);600;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFMA;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;1168581;Educação Presencial;2103000;Caxias;MA;73;53;37;0,6981;-1,2586;2,1008;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);600;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFMA;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;1168583;Educação Presencial;2111607;São Raimundo das Mangabeiras;MA;37;32;23;0,7188;-0,0647;2,4768;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);600;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFMA;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;1188418;Educação Presencial;2101707;Barreirinhas;MA;41;36;36;1,0000;-0,8181;2,2396;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);600;INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO MARANHÃO;IFMA;Instituto Federal de Educação, Ciência e Tecnologia;Pública Federal;1304669;Educação Presencial;2103307;Codó;MA;17;14;4;0,2857;-2,1268;1,8274;2;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);609;UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ;UNIOESTE;Universidade;Pública Estadual;69402;Educação Presencial;4104808;Cascavel;PR;27;25;12;0,4800;1,6990;3,0323;4;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);621;CENTRO UNIVERSITÁRIO CESMAC;CESMAC;Centro Universitário;Privada sem fins lucrativos;19072;Educação Presencial;2704302;Maceió;AL;10;10;6;0,6000;-4,0805;1,2122;2;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);626;CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;UNICNEC;Centro Universitário;Privada sem fins lucrativos;117424;Educação Presencial;4313508;Osório;RS;13;13;12;0,9231;-1,2094;2,1163;3;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);634;UNIVERSIDADE FEDERAL DE PELOTAS;UFPEL;Universidade;Pública Federal;113735;Educação Presencial;4304663;Capão do Leão;RS;18;17;13;0,7647;1,6987;3,0322;4;
2017;1602;CIÊNCIAS BIOLÓGICAS (LICENCIATURA);640;FACULDADES INTEGRADAS MARIA THEREZA;FAMATH;Faculdade;Privada com fins lucrativos;15080;Educação Presencial;3303302;Niterói;RJ;13;6;3;0,5000;-3,7992;1,3007;2;
