Dados do período 2015.1,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1651,244,380,115
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,961,163,117,105
CH - CENTRO DE HUMANIDADES,Campina Grande,2313,243,398,179
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1362,162,207,84
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1179,198,218,64
CENTRO PARFOR,Campina Grande,34,14,0,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,2093,194,375,183
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1388,91,284,88
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1158,122,156,98
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1635,135,311,152
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,964,82,217,44
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,812,71,148,35
