Dados do período 2021.1,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1261,238,358,57
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,1010,153,123,79
CH - CENTRO DE HUMANIDADES,Campina Grande,2004,255,409,116
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1416,144,207,63
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,970,181,238,61
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1940,177,387,119
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1333,80,348,112
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1137,118,208,80
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1591,127,372,91
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,681,81,200,27
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,849,79,152,51
