Dados do período 2017.1,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1557,258,395,100
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,889,161,117,84
CH - CENTRO DE HUMANIDADES,Campina Grande,2124,242,417,141
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1480,164,208,71
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1183,208,226,104
CENTRO PARFOR,Campina Grande,33,20,0,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1925,179,393,206
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1408,86,304,95
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1144,124,177,83
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1573,123,372,93
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,851,80,245,73
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,864,74,160,48
