Dados do período 2021.2,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1092,233,79,67
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,1023,156,135,24
CH - CENTRO DE HUMANIDADES,Campina Grande,2026,255,427,109
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1435,152,195,82
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,871,184,112,52
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1884,183,239,129
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1128,77,44,61
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1092,118,142,69
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1483,123,118,120
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,556,83,1,36
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,812,79,85,79
