Dados do período 2019.2,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1246,253,91,96
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,1029,166,144,68
CH - CENTRO DE HUMANIDADES,Campina Grande,2368,247,505,142
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1589,162,221,114
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1014,187,128,71
CENTRO PARFOR,Campina Grande,2,2,0,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1993,184,236,158
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1345,82,46,123
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1196,126,170,93
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1619,125,137,128
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,745,83,1,78
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,953,79,156,44
