Dados do período 2016.2,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1439,257,72,132
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,898,164,101,73
CH - CENTRO DE HUMANIDADES,Campina Grande,2117,254,365,145
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1483,168,180,103
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1128,209,91,92
CENTRO PARFOR,Campina Grande,36,19,0,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1840,185,194,141
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1319,89,68,136
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1128,125,123,90
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1403,135,103,115
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,754,81,0,60
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,832,79,119,55
