Dados do período 2020.0,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1154,195,0,0
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,784,144,0,0
CH - CENTRO DE HUMANIDADES,Campina Grande,1815,233,0,0
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1367,132,0,0
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,939,156,0,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1687,149,0,0
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1406,84,0,0
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1110,106,0,0
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1319,117,0,0
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,633,78,0,0
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,885,78,0,0
