Dados do período 2023.2,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1111,236,68,87
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,1114,160,117,86
CH - CENTRO DE HUMANIDADES,Campina Grande,2190,247,404,154
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1485,155,142,113
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,921,199,85,42
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,2084,185,218,148
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1176,70,52,105
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1023,116,128,101
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1403,125,111,122
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,459,81,1,39
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,607,77,63,54
