Dados do período 2017.2,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1366,253,72,139
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,886,160,107,63
CH - CENTRO DE HUMANIDADES,Campina Grande,2095,247,382,161
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1487,166,192,87
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1088,195,99,79
CENTRO PARFOR,Campina Grande,33,16,0,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1818,196,218,155
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1327,86,66,143
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1136,122,129,119
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1471,127,114,117
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,708,81,0,69
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,901,78,151,67
