Dados do período 2021.0,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,25,4,0,0
CH - CENTRO DE HUMANIDADES,Campina Grande,52,3,0,0
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,41,3,0,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,48,2,0,0
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,105,3,0,0
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,20,1,0,0
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,58,5,0,0
