Dados do período 2015.2,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1462,230,81,116
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,925,159,114,84
CH - CENTRO DE HUMANIDADES,Campina Grande,2230,244,437,190
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1422,156,211,64
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1112,191,103,39
CENTRO PARFOR,Campina Grande,47,19,20,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1929,183,219,194
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1302,88,102,132
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1149,123,156,100
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1414,132,128,135
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,806,79,3,87
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,834,72,155,59
