Dados do período 2016.1,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1571,254,374,83
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,919,165,113,84
CH - CENTRO DE HUMANIDADES,Campina Grande,2109,255,361,172
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1443,152,197,78
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1208,198,218,79
CENTRO PARFOR,Campina Grande,37,18,0,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,1943,180,351,166
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1384,85,282,66
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1156,121,166,99
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1528,135,339,119
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,888,80,235,41
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,814,77,152,37
