Dados do período 2019.1,,,,,
Centro,Campus,Alunos Matriculados,Professores,Ingressantes,Graduados
CCT - CENTRO DE CIÊNCIAS E TECNOLOGIA,Campina Grande,1406,244,424,68
CCBS - CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE,Campina Grande,987,167,139,77
CH - CENTRO DE HUMANIDADES,Campina Grande,2236,246,436,160
CEEI - CENTRO DE ENGENHARIA ELÉTRICA E INFORMÁTICA,Campina Grande,1561,160,212,95
CTRN - CENTRO DE TECNOLOGIA E RECURSOS NATURAIS,Campina Grande,1082,189,255,91
CENTRO PARFOR,Campina Grande,10,5,0,0
CFP - CENTRO DE FORMAÇÃO DE PROFESSORES,Cajazeiras,2016,182,409,108
CCJS - CENTRO DE CIÊNCIAS JURÍDICAS E SOCIAIS,Sousa,1482,85,372,105
CSTR - CENTRO DE SAÚDE E TECNOLOGIA RURAL,Patos,1166,122,193,89
CES - CENTRO DE EDUCAÇÃO E SAÚDE,Cuité,1683,127,381,89
CDSA - CENTRO DE DESENVOLVIMENTO SUSTENTÁVEL DO SEMI-ÁRIDO,Sumé,881,78,319,58
CCTA - CENTRO DE CIÊNCIAS E TECNOLOGIA AGROALIMENTAR,Pombal,959,76,175,67
