Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,318,296,614
AGRONOMIA,70,160,230
ARQUITETURA E URBANISMO,28,12,40
ARTE E MÍDIA,57,56,113
CIÊNCIA DA COMPUTAÇÃO,65,370,435
CIÊNCIAS,8,25,33
CIÊNCIAS BIOLOGIA,70,31,101
CIÊNCIAS BIOLÓGICAS,302,124,426
CIÊNCIAS CONTÁBEIS,180,171,351
CIÊNCIAS ECONÔMICAS,171,115,286
CIÊNCIAS MATEMÁTICA,41,62,103
CIÊNCIAS QUÍMICA,23,24,47
CIÊNCIAS SOCIAIS,210,83,293
COMUNICAÇÃO SOCIAL,51,25,76
DESENHO INDUSTRIAL,17,19,36
DESIGN,88,81,169
DIREITO,375,375,750
ENFERMAGEM,594,117,711
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,41,34,75
ENGENHARIA AGRÍCOLA,61,55,116
ENGENHARIA AMBIENTAL,92,104,196
ENGENHARIA CIVIL,131,296,427
ENGENHARIA DE ALIMENTOS,183,64,247
ENGENHARIA DE BIOSSISTEMAS,37,36,73
ENGENHARIA DE MATERIAIS,137,86,223
ENGENHARIA DE MINAS,34,96,130
ENGENHARIA DE PETRÓLEO,32,52,84
ENGENHARIA DE PRODUÇÃO,137,98,235
ENGENHARIA ELÉTRICA,119,520,639
ENGENHARIA ELÉTRICA AUTOMAÇÃO,9,49,58
ENGENHARIA FLORESTAL,59,76,135
ENGENHARIA MECÂNICA,27,292,319
ENGENHARIA QUÍMICA,108,93,201
ESTATÍSTICA,10,5,15
FARMÁCIA,149,89,238
FILOSOFIA,18,23,41
FÍSICA,54,87,141
GEOGRAFIA,221,138,359
HISTÓRIA,357,231,588
INTERDISCIPLINAR EM EDUC. DO CAMPOD,39,20,59
LETRAS,527,136,663
LICENCIATURA INTERCULTURAL INDÍGENA,32,14,46
MATEMÁTICA,109,143,252
MEDICINA,362,383,745
MEDICINA VETERINÁRIA,154,226,380
METEOROLOGIA,30,24,54
MÚSICA,5,46,51
NUTRIÇÃO,126,17,143
ODONTOLOGIA,94,66,160
PEDAGOGIA,512,25,537
PSICOLOGIA,64,19,83
QUÍMICA,86,58,144
SERVIÇO SOCIAL,44,3,47
TECNOLOGIA EM AGROECOLOGIA,13,23,36
TECNOLOGIA EM GESTÃO PÚBLICA,26,22,48
