Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,276,228,504
AGRONOMIA,58,120,178
ARQUITETURA E URBANISMO,113,48,161
ARTE E MÍDIA,55,59,114
CIÊNCIA DA COMPUTAÇÃO,168,609,777
CIÊNCIAS BIOLÓGICAS,372,247,619
CIÊNCIAS CONTÁBEIS,94,104,198
CIÊNCIAS ECONÔMICAS,74,101,175
CIÊNCIAS SOCIAIS,149,94,243
COMUNICAÇÃO SOCIAL,80,68,148
DESIGN,130,74,204
DIREITO,494,352,846
ENFERMAGEM,560,157,717
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,38,15,53
ENGENHARIA AGRÍCOLA,46,70,116
ENGENHARIA AMBIENTAL,43,35,78
ENGENHARIA CIVIL,252,407,659
ENGENHARIA DE ALIMENTOS,124,69,193
ENGENHARIA DE BIOSSISTEMAS,19,17,36
ENGENHARIA DE MATERIAIS,37,67,104
ENGENHARIA DE MINAS,55,55,110
ENGENHARIA DE PETRÓLEO,41,44,85
ENGENHARIA DE PRODUÇÃO,92,112,204
ENGENHARIA ELÉTRICA,139,545,684
ENGENHARIA FLORESTAL,36,34,70
ENGENHARIA MECÂNICA,50,191,241
ENGENHARIA QUÍMICA,88,76,164
ESTATÍSTICA,15,18,33
FARMÁCIA,205,117,322
FILOSOFIA,28,66,94
FÍSICA,127,211,338
GEOGRAFIA,227,257,484
HISTÓRIA,302,250,552
INTERDISCIPLINAR EM EDUC. DO CAMPOD,51,41,92
LETRAS,519,230,749
LICENCIATURA INTERCULTURAL INDÍGENA,4,6,10
MATEMÁTICA,189,223,412
MEDICINA,325,400,725
MEDICINA VETERINÁRIA,245,143,388
METEOROLOGIA,19,18,37
MÚSICA,15,55,70
NUTRIÇÃO,200,44,244
ODONTOLOGIA,200,124,324
PEDAGOGIA,490,66,556
PSICOLOGIA,276,92,368
QUÍMICA,166,103,269
SERVIÇO SOCIAL,99,23,122
TECNOLOGIA EM AGROECOLOGIA,28,7,35
TECNOLOGIA EM GESTÃO PÚBLICA,65,32,97
