Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,246,282,528
AGRONOMIA,97,161,258
ARQUITETURA E URBANISMO,112,70,182
ARTE E MÍDIA,54,63,117
CIÊNCIA DA COMPUTAÇÃO,109,521,630
CIÊNCIAS BIOLÓGICAS,341,247,588
CIÊNCIAS CONTÁBEIS,85,118,203
CIÊNCIAS ECONÔMICAS,63,119,182
CIÊNCIAS SOCIAIS,145,86,231
COMUNICAÇÃO SOCIAL,111,84,195
DESIGN,111,79,190
DIREITO,426,384,810
ENFERMAGEM,466,126,592
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,57,42,99
ENGENHARIA AGRÍCOLA,36,68,104
ENGENHARIA AMBIENTAL,110,116,226
ENGENHARIA CIVIL,238,508,746
ENGENHARIA DE ALIMENTOS,186,91,277
ENGENHARIA DE BIOSSISTEMAS,42,55,97
ENGENHARIA DE MATERIAIS,77,77,154
ENGENHARIA DE MINAS,58,95,153
ENGENHARIA DE PETRÓLEO,69,73,142
ENGENHARIA DE PRODUÇÃO,148,170,318
ENGENHARIA ELÉTRICA,190,667,857
ENGENHARIA FLORESTAL,44,59,103
ENGENHARIA MECÂNICA,38,269,307
ENGENHARIA QUÍMICA,115,97,212
ESTATÍSTICA,12,16,28
FARMÁCIA,210,130,340
FILOSOFIA,25,40,65
FÍSICA,67,179,246
GEOGRAFIA,195,248,443
HISTÓRIA,275,274,549
INTERDISCIPLINAR EM EDUC. DO CAMPOD,43,34,77
LETRAS,382,187,569
MATEMÁTICA,155,210,365
MEDICINA,293,294,587
MEDICINA VETERINÁRIA,229,190,419
METEOROLOGIA,22,21,43
MÚSICA,20,81,101
NUTRIÇÃO,229,58,287
ODONTOLOGIA,223,139,362
PEDAGOGIA,433,46,479
PSICOLOGIA,189,86,275
QUÍMICA,132,132,264
SERVIÇO SOCIAL,124,17,141
TECNOLOGIA EM AGROECOLOGIA,33,30,63
TECNOLOGIA EM GESTÃO PÚBLICA,61,51,112
