Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,303,340,643
AGRONOMIA,94,179,273
ARQUITETURA E URBANISMO,83,46,129
ARTE E MÍDIA,58,63,121
CIÊNCIA DA COMPUTAÇÃO,82,432,514
CIÊNCIAS BIOLOGIA,27,7,34
CIÊNCIAS BIOLÓGICAS,443,208,651
CIÊNCIAS CONTÁBEIS,108,129,237
CIÊNCIAS ECONÔMICAS,124,134,258
CIÊNCIAS MATEMÁTICA,13,21,34
CIÊNCIAS QUÍMICA,10,9,19
CIÊNCIAS SOCIAIS,238,86,324
COMUNICAÇÃO SOCIAL,133,79,212
DESIGN,107,108,215
DIREITO,422,360,782
ENFERMAGEM,779,162,941
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,82,52,134
ENGENHARIA AGRÍCOLA,51,83,134
ENGENHARIA AMBIENTAL,133,132,265
ENGENHARIA CIVIL,176,326,502
ENGENHARIA DE ALIMENTOS,247,98,345
ENGENHARIA DE BIOSSISTEMAS,60,54,114
ENGENHARIA DE MATERIAIS,105,86,191
ENGENHARIA DE MINAS,60,119,179
ENGENHARIA DE PETRÓLEO,85,88,173
ENGENHARIA DE PRODUÇÃO,156,158,314
ENGENHARIA ELÉTRICA,161,621,782
ENGENHARIA ELÉTRICA AUTOMAÇÃO,2,20,22
ENGENHARIA FLORESTAL,51,75,126
ENGENHARIA MECÂNICA,29,292,321
ENGENHARIA QUÍMICA,105,104,209
ESTATÍSTICA,15,22,37
FARMÁCIA,220,111,331
FILOSOFIA,35,41,76
FÍSICA,61,137,198
GEOGRAFIA,312,244,556
HISTÓRIA,327,271,598
INTERDISCIPLINAR EM EDUC. DO CAMPOD,68,45,113
LETRAS,463,147,610
MATEMÁTICA,136,164,300
MEDICINA,371,370,741
MEDICINA VETERINÁRIA,187,235,422
METEOROLOGIA,28,16,44
MÚSICA,14,96,110
NUTRIÇÃO,274,42,316
ODONTOLOGIA,210,124,334
PEDAGOGIA,545,32,577
PSICOLOGIA,184,57,241
QUÍMICA,124,103,227
SERVIÇO SOCIAL,127,14,141
TECNOLOGIA EM AGROECOLOGIA,56,52,108
TECNOLOGIA EM GESTÃO PÚBLICA,62,50,112
