Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,251,256,507
ARTE E MÍDIA,59,69,128
CIÊNCIA DA COMPUTAÇÃO,37,247,284
CIÊNCIAS,67,78,145
CIÊNCIAS BIOLOGIA,80,25,105
CIÊNCIAS CONTÁBEIS,35,51,86
CIÊNCIAS ECONÔMICAS,165,185,350
CIÊNCIAS FÍSICA,0,6,6
CIÊNCIAS MATEMÁTICA,22,40,62
CIÊNCIAS QUÍMICA,27,20,47
CIÊNCIAS SOCIAIS,151,84,235
DESENHO INDUSTRIAL,81,75,156
DESIGN,8,11,19
DIREITO,273,401,674
ENFERMAGEM,48,8,56
ENGENHARIA AGRÍCOLA,48,68,116
ENGENHARIA CIVIL,109,307,416
ENGENHARIA DE MATERIAIS,117,107,224
ENGENHARIA DE MINAS,17,72,89
ENGENHARIA DE PRODUÇÃO,10,21,31
ENGENHARIA ELÉTRICA,56,406,462
ENGENHARIA ELÉTRICA AUTOMAÇÃO,9,92,101
ENGENHARIA FLORESTAL,32,39,71
ENGENHARIA MECÂNICA,13,278,291
ENGENHARIA QUÍMICA,89,80,169
FÍSICA,14,38,52
GEOGRAFIA,208,128,336
HISTÓRIA,434,297,731
LETRAS,568,132,700
MATEMÁTICA,62,111,173
MEDICINA,213,249,462
MEDICINA VETERINÁRIA,120,217,337
METEOROLOGIA,28,39,67
PEDAGOGIA,465,30,495
TECNOLOGIA QUÍMICA,0,1,1
