Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,256,261,517
ARTE E MÍDIA,42,65,107
CIÊNCIA DA COMPUTAÇÃO,50,224,274
CIÊNCIAS,87,56,143
CIÊNCIAS BIOLOGIA,61,16,77
CIÊNCIAS ECONÔMICAS,163,170,333
CIÊNCIAS FÍSICA,0,5,5
CIÊNCIAS MATEMÁTICA,15,32,47
CIÊNCIAS QUÍMICA,19,10,29
CIÊNCIAS SOCIAIS,129,68,197
DESENHO INDUSTRIAL,69,71,140
DESIGN,0,1,1
DIREITO,232,392,624
ENGENHARIA AGRÍCOLA,50,70,120
ENGENHARIA CIVIL,104,322,426
ENGENHARIA DE MATERIAIS,115,109,224
ENGENHARIA DE MINAS,26,70,96
ENGENHARIA ELÉTRICA,46,352,398
ENGENHARIA ELÉTRICA AUTOMAÇÃO,12,92,104
ENGENHARIA FLORESTAL,25,49,74
ENGENHARIA MECÂNICA,8,274,282
ENGENHARIA QUÍMICA,93,75,168
FÍSICA,8,45,53
GEOGRAFIA,225,101,326
HISTÓRIA,411,275,686
LETRAS,536,126,662
MATEMÁTICA,57,119,176
MEDICINA,210,256,466
MEDICINA VETERINÁRIA,122,207,329
METEOROLOGIA,26,39,65
PEDAGOGIA,506,34,540
TECNOLOGIA QUÍMICA,7,9,16
