Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,356,343,699
AGRONOMIA,91,174,265
ARQUITETURA E URBANISMO,44,22,66
ARTE E MÍDIA,54,51,105
CIÊNCIA DA COMPUTAÇÃO,75,448,523
CIÊNCIAS BIOLOGIA,45,20,65
CIÊNCIAS BIOLÓGICAS,440,211,651
CIÊNCIAS CONTÁBEIS,120,125,245
CIÊNCIAS ECONÔMICAS,151,119,270
CIÊNCIAS MATEMÁTICA,28,47,75
CIÊNCIAS QUÍMICA,18,15,33
CIÊNCIAS SOCIAIS,263,92,355
COMUNICAÇÃO SOCIAL,83,39,122
DESIGN,105,104,209
DIREITO,429,397,826
ENFERMAGEM,765,153,918
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,84,50,134
ENGENHARIA AGRÍCOLA,69,86,155
ENGENHARIA AMBIENTAL,124,117,241
ENGENHARIA CIVIL,162,310,472
ENGENHARIA DE ALIMENTOS,245,99,344
ENGENHARIA DE BIOSSISTEMAS,61,57,118
ENGENHARIA DE MATERIAIS,147,122,269
ENGENHARIA DE MINAS,55,116,171
ENGENHARIA DE PETRÓLEO,73,90,163
ENGENHARIA DE PRODUÇÃO,169,150,319
ENGENHARIA ELÉTRICA,152,579,731
ENGENHARIA ELÉTRICA AUTOMAÇÃO,7,42,49
ENGENHARIA FLORESTAL,70,88,158
ENGENHARIA MECÂNICA,36,305,341
ENGENHARIA QUÍMICA,117,99,216
ESTATÍSTICA,24,26,50
FARMÁCIA,206,105,311
FILOSOFIA,37,55,92
FÍSICA,82,166,248
GEOGRAFIA,292,234,526
HISTÓRIA,373,243,616
INTERDISCIPLINAR EM EDUC. DO CAMPOD,79,55,134
LETRAS,529,136,665
LICENCIATURA INTERCULTURAL INDÍGENA,32,14,46
MATEMÁTICA,170,221,391
MEDICINA,385,392,777
MEDICINA VETERINÁRIA,163,242,405
METEOROLOGIA,34,40,74
MÚSICA,9,64,73
NUTRIÇÃO,217,26,243
ODONTOLOGIA,146,87,233
PEDAGOGIA,571,23,594
PSICOLOGIA,132,45,177
QUÍMICA,137,98,235
SERVIÇO SOCIAL,114,13,127
TECNOLOGIA EM AGROECOLOGIA,46,56,102
TECNOLOGIA EM GESTÃO PÚBLICA,70,66,136
