Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,297,242,539
AGRONOMIA,51,153,204
ARTE E MÍDIA,54,56,110
CIÊNCIA DA COMPUTAÇÃO,57,308,365
CIÊNCIAS,20,46,66
CIÊNCIAS BIOLOGIA,58,30,88
CIÊNCIAS BIOLÓGICAS,230,87,317
CIÊNCIAS CONTÁBEIS,190,194,384
CIÊNCIAS ECONÔMICAS,160,117,277
CIÊNCIAS FÍSICA,0,1,1
CIÊNCIAS MATEMÁTICA,38,51,89
CIÊNCIAS QUÍMICA,21,17,38
CIÊNCIAS SOCIAIS,190,80,270
DESENHO INDUSTRIAL,34,33,67
DESIGN,64,59,123
DIREITO,345,382,727
ENFERMAGEM,429,94,523
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,29,21,50
ENGENHARIA AGRÍCOLA,62,52,114
ENGENHARIA AMBIENTAL,71,69,140
ENGENHARIA CIVIL,130,280,410
ENGENHARIA DE ALIMENTOS,132,47,179
ENGENHARIA DE BIOSSISTEMAS,29,22,51
ENGENHARIA DE MATERIAIS,118,88,206
ENGENHARIA DE MINAS,25,96,121
ENGENHARIA DE PETRÓLEO,20,24,44
ENGENHARIA DE PRODUÇÃO,109,95,204
ENGENHARIA ELÉTRICA,96,459,555
ENGENHARIA ELÉTRICA AUTOMAÇÃO,9,55,64
ENGENHARIA FLORESTAL,50,73,123
ENGENHARIA MECÂNICA,20,282,302
ENGENHARIA QUÍMICA,105,75,180
FARMÁCIA,99,59,158
FILOSOFIA,11,16,27
FÍSICA,35,85,120
GEOGRAFIA,194,99,293
HISTÓRIA,378,234,612
INTERDISCIPLINAR EM EDUC. DO CAMPOD,30,20,50
LETRAS,516,123,639
LICENCIATURA INTERCULTURAL INDÍGENA,34,14,48
MATEMÁTICA,114,123,237
MEDICINA,332,340,672
MEDICINA VETERINÁRIA,140,217,357
METEOROLOGIA,29,31,60
MÚSICA,5,24,29
NUTRIÇÃO,65,14,79
ODONTOLOGIA,44,37,81
PEDAGOGIA,511,25,536
QUÍMICA,75,46,121
