Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,288,310,598
AGRONOMIA,103,174,277
ARQUITETURA E URBANISMO,104,65,169
ARTE E MÍDIA,50,48,98
CIÊNCIA DA COMPUTAÇÃO,111,644,755
CIÊNCIAS BIOLÓGICAS,422,254,676
CIÊNCIAS CONTÁBEIS,92,138,230
CIÊNCIAS ECONÔMICAS,64,142,206
CIÊNCIAS SOCIAIS,198,103,301
COMUNICAÇÃO SOCIAL,115,87,202
DESIGN,102,72,174
DIREITO,495,453,948
ENFERMAGEM,494,152,646
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,81,42,123
ENGENHARIA AGRÍCOLA,44,92,136
ENGENHARIA AMBIENTAL,90,96,186
ENGENHARIA CIVIL,267,576,843
ENGENHARIA DE ALIMENTOS,182,101,283
ENGENHARIA DE BIOSSISTEMAS,54,57,111
ENGENHARIA DE MATERIAIS,80,90,170
ENGENHARIA DE MINAS,50,76,126
ENGENHARIA DE PETRÓLEO,70,66,136
ENGENHARIA DE PRODUÇÃO,149,187,336
ENGENHARIA ELÉTRICA,186,649,835
ENGENHARIA FLORESTAL,57,66,123
ENGENHARIA MECÂNICA,46,245,291
ENGENHARIA QUÍMICA,126,99,225
ESTATÍSTICA,23,46,69
FARMÁCIA,247,134,381
FILOSOFIA,33,72,105
FÍSICA,122,265,387
GEOGRAFIA,212,327,539
HISTÓRIA,301,306,607
INTERDISCIPLINAR EM EDUC. DO CAMPOD,89,47,136
LETRAS,506,264,770
MATEMÁTICA,187,292,479
MEDICINA,328,375,703
MEDICINA VETERINÁRIA,281,188,469
METEOROLOGIA,43,36,79
MÚSICA,26,80,106
NUTRIÇÃO,255,69,324
ODONTOLOGIA,216,157,373
PEDAGOGIA,475,70,545
PSICOLOGIA,247,91,338
QUÍMICA,198,145,343
SERVIÇO SOCIAL,122,20,142
TECNOLOGIA EM AGROECOLOGIA,67,53,120
TECNOLOGIA EM GESTÃO PÚBLICA,71,52,123
