Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,258,303,561
AGRONOMIA,88,173,261
ARQUITETURA E URBANISMO,128,57,185
ARTE E MÍDIA,57,76,133
CIÊNCIA DA COMPUTAÇÃO,83,475,558
CIÊNCIAS BIOLOGIA,1,0,1
CIÊNCIAS BIOLÓGICAS,400,227,627
CIÊNCIAS CONTÁBEIS,91,107,198
CIÊNCIAS ECONÔMICAS,99,128,227
CIÊNCIAS MATEMÁTICA,0,2,2
CIÊNCIAS QUÍMICA,0,1,1
CIÊNCIAS SOCIAIS,186,89,275
COMUNICAÇÃO SOCIAL,131,105,236
DESIGN,121,83,204
DIREITO,407,375,782
ENFERMAGEM,558,127,685
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,79,41,120
ENGENHARIA AGRÍCOLA,28,73,101
ENGENHARIA AMBIENTAL,120,134,254
ENGENHARIA CIVIL,197,407,604
ENGENHARIA DE ALIMENTOS,213,109,322
ENGENHARIA DE BIOSSISTEMAS,47,54,101
ENGENHARIA DE MATERIAIS,96,85,181
ENGENHARIA DE MINAS,69,110,179
ENGENHARIA DE PETRÓLEO,87,91,178
ENGENHARIA DE PRODUÇÃO,153,190,343
ENGENHARIA ELÉTRICA,190,674,864
ENGENHARIA FLORESTAL,41,64,105
ENGENHARIA MECÂNICA,39,290,329
ENGENHARIA QUÍMICA,110,101,211
ESTATÍSTICA,10,19,29
FARMÁCIA,200,102,302
FILOSOFIA,27,41,68
FÍSICA,51,126,177
GEOGRAFIA,234,227,461
HISTÓRIA,303,268,571
INTERDISCIPLINAR EM EDUC. DO CAMPOD,54,34,88
LETRAS,422,156,578
MATEMÁTICA,164,177,341
MEDICINA,294,309,603
MEDICINA VETERINÁRIA,202,203,405
METEOROLOGIA,18,22,40
MÚSICA,19,75,94
NUTRIÇÃO,232,52,284
ODONTOLOGIA,232,125,357
PEDAGOGIA,498,34,532
PSICOLOGIA,202,85,287
QUÍMICA,127,123,250
SERVIÇO SOCIAL,118,21,139
TECNOLOGIA EM AGROECOLOGIA,54,44,98
TECNOLOGIA EM GESTÃO PÚBLICA,54,46,100
