Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,258,278,536
ARTE E MÍDIA,49,72,121
CIÊNCIA DA COMPUTAÇÃO,46,249,295
CIÊNCIAS,72,66,138
CIÊNCIAS BIOLOGIA,72,18,90
CIÊNCIAS ECONÔMICAS,156,180,336
CIÊNCIAS FÍSICA,0,4,4
CIÊNCIAS MATEMÁTICA,16,34,50
CIÊNCIAS QUÍMICA,25,11,36
CIÊNCIAS SOCIAIS,117,85,202
DESENHO INDUSTRIAL,82,73,155
DESIGN,0,1,1
DIREITO,228,395,623
ENGENHARIA AGRÍCOLA,49,78,127
ENGENHARIA CIVIL,109,316,425
ENGENHARIA DE MATERIAIS,118,108,226
ENGENHARIA DE MINAS,21,70,91
ENGENHARIA ELÉTRICA,45,364,409
ENGENHARIA ELÉTRICA AUTOMAÇÃO,13,95,108
ENGENHARIA FLORESTAL,29,40,69
ENGENHARIA MECÂNICA,10,275,285
ENGENHARIA QUÍMICA,92,75,167
FÍSICA,9,39,48
GEOGRAFIA,236,114,350
HISTÓRIA,425,284,709
LETRAS,527,126,653
MATEMÁTICA,55,118,173
MEDICINA,203,258,461
MEDICINA VETERINÁRIA,129,217,346
METEOROLOGIA,23,41,64
PEDAGOGIA,470,35,505
TECNOLOGIA QUÍMICA,7,5,12
