Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,287,228,515
AGRONOMIA,49,142,191
ARTE E MÍDIA,40,56,96
CIÊNCIA DA COMPUTAÇÃO,59,281,340
CIÊNCIAS,24,52,76
CIÊNCIAS BIOLOGIA,54,34,88
CIÊNCIAS BIOLÓGICAS,188,69,257
CIÊNCIAS CONTÁBEIS,196,184,380
CIÊNCIAS ECONÔMICAS,157,110,267
CIÊNCIAS FÍSICA,1,1,2
CIÊNCIAS MATEMÁTICA,34,48,82
CIÊNCIAS QUÍMICA,19,17,36
CIÊNCIAS SOCIAIS,161,73,234
DESENHO INDUSTRIAL,40,44,84
DESIGN,54,43,97
DIREITO,361,410,771
ENFERMAGEM,328,82,410
ENGENHARIA AGRÍCOLA,68,69,137
ENGENHARIA AMBIENTAL,62,70,132
ENGENHARIA CIVIL,121,302,423
ENGENHARIA DE ALIMENTOS,115,51,166
ENGENHARIA DE MATERIAIS,139,93,232
ENGENHARIA DE MINAS,30,109,139
ENGENHARIA DE PETRÓLEO,23,27,50
ENGENHARIA DE PRODUÇÃO,85,78,163
ENGENHARIA ELÉTRICA,84,449,533
ENGENHARIA ELÉTRICA AUTOMAÇÃO,11,56,67
ENGENHARIA FLORESTAL,57,80,137
ENGENHARIA MECÂNICA,19,275,294
ENGENHARIA QUÍMICA,118,93,211
FARMÁCIA,76,50,126
FILOSOFIA,12,18,30
FÍSICA,32,90,122
GEOGRAFIA,196,112,308
HISTÓRIA,402,220,622
LETRAS,543,106,649
MATEMÁTICA,116,130,246
MEDICINA,316,312,628
MEDICINA VETERINÁRIA,128,227,355
METEOROLOGIA,40,44,84
NUTRIÇÃO,33,7,40
ODONTOLOGIA,21,23,44
PEDAGOGIA,488,21,509
QUÍMICA,71,37,108
