Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,328,325,653
AGRONOMIA,83,162,245
ARQUITETURA E URBANISMO,27,12,39
ARTE E MÍDIA,52,52,104
CIÊNCIA DA COMPUTAÇÃO,73,393,466
CIÊNCIAS,1,5,6
CIÊNCIAS BIOLOGIA,67,30,97
CIÊNCIAS BIOLÓGICAS,381,169,550
CIÊNCIAS CONTÁBEIS,151,133,284
CIÊNCIAS ECONÔMICAS,159,113,272
CIÊNCIAS MATEMÁTICA,38,54,92
CIÊNCIAS QUÍMICA,22,23,45
CIÊNCIAS SOCIAIS,255,94,349
COMUNICAÇÃO SOCIAL,47,21,68
DESENHO INDUSTRIAL,12,17,29
DESIGN,98,91,189
DIREITO,414,394,808
ENFERMAGEM,667,124,791
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,78,43,121
ENGENHARIA AGRÍCOLA,71,81,152
ENGENHARIA AMBIENTAL,99,110,209
ENGENHARIA CIVIL,138,303,441
ENGENHARIA DE ALIMENTOS,219,81,300
ENGENHARIA DE BIOSSISTEMAS,55,57,112
ENGENHARIA DE MATERIAIS,160,101,261
ENGENHARIA DE MINAS,51,115,166
ENGENHARIA DE PETRÓLEO,57,70,127
ENGENHARIA DE PRODUÇÃO,151,145,296
ENGENHARIA ELÉTRICA,131,536,667
ENGENHARIA ELÉTRICA AUTOMAÇÃO,10,51,61
ENGENHARIA FLORESTAL,71,88,159
ENGENHARIA MECÂNICA,29,294,323
ENGENHARIA QUÍMICA,116,97,213
ESTATÍSTICA,22,20,42
FARMÁCIA,165,98,263
FILOSOFIA,31,38,69
FÍSICA,85,145,230
GEOGRAFIA,259,183,442
HISTÓRIA,364,228,592
INTERDISCIPLINAR EM EDUC. DO CAMPOD,66,41,107
LETRAS,535,139,674
LICENCIATURA INTERCULTURAL INDÍGENA,32,14,46
MATEMÁTICA,154,205,359
MEDICINA,380,383,763
MEDICINA VETERINÁRIA,163,229,392
METEOROLOGIA,38,33,71
MÚSICA,5,46,51
NUTRIÇÃO,154,17,171
ODONTOLOGIA,102,80,182
PEDAGOGIA,490,24,514
PSICOLOGIA,89,27,116
QUÍMICA,119,93,212
SERVIÇO SOCIAL,83,9,92
TECNOLOGIA EM AGROECOLOGIA,33,40,73
TECNOLOGIA EM GESTÃO PÚBLICA,53,42,95
