Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,265,306,571
AGRONOMIA,99,155,254
ARQUITETURA E URBANISMO,97,61,158
ARTE E MÍDIA,44,53,97
CIÊNCIA DA COMPUTAÇÃO,107,534,641
CIÊNCIAS BIOLÓGICAS,382,259,641
CIÊNCIAS CONTÁBEIS,88,120,208
CIÊNCIAS ECONÔMICAS,60,126,186
CIÊNCIAS SOCIAIS,162,95,257
COMUNICAÇÃO SOCIAL,96,61,157
DESIGN,101,72,173
DIREITO,453,431,884
ENFERMAGEM,446,129,575
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,77,47,124
ENGENHARIA AGRÍCOLA,44,82,126
ENGENHARIA AMBIENTAL,106,121,227
ENGENHARIA CIVIL,249,541,790
ENGENHARIA DE ALIMENTOS,194,98,292
ENGENHARIA DE BIOSSISTEMAS,50,62,112
ENGENHARIA DE MATERIAIS,87,91,178
ENGENHARIA DE MINAS,61,95,156
ENGENHARIA DE PETRÓLEO,75,80,155
ENGENHARIA DE PRODUÇÃO,163,190,353
ENGENHARIA ELÉTRICA,176,664,840
ENGENHARIA FLORESTAL,52,70,122
ENGENHARIA MECÂNICA,36,243,279
ENGENHARIA QUÍMICA,122,107,229
ESTATÍSTICA,20,27,47
FARMÁCIA,215,125,340
FILOSOFIA,25,59,84
FÍSICA,87,233,320
GEOGRAFIA,201,277,478
HISTÓRIA,279,282,561
INTERDISCIPLINAR EM EDUC. DO CAMPOD,64,46,110
LETRAS,418,213,631
MATEMÁTICA,182,255,437
MEDICINA,303,319,622
MEDICINA VETERINÁRIA,219,177,396
METEOROLOGIA,31,32,63
MÚSICA,17,70,87
NUTRIÇÃO,234,63,297
ODONTOLOGIA,215,137,352
PEDAGOGIA,451,58,509
PSICOLOGIA,192,90,282
QUÍMICA,157,147,304
SERVIÇO SOCIAL,133,21,154
TECNOLOGIA EM AGROECOLOGIA,38,47,85
TECNOLOGIA EM GESTÃO PÚBLICA,65,61,126
