Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,329,341,670
AGRONOMIA,83,180,263
ARQUITETURA E URBANISMO,69,37,106
ARTE E MÍDIA,54,63,117
CIÊNCIA DA COMPUTAÇÃO,76,411,487
CIÊNCIAS BIOLOGIA,34,13,47
CIÊNCIAS BIOLÓGICAS,410,200,610
CIÊNCIAS CONTÁBEIS,125,142,267
CIÊNCIAS ECONÔMICAS,146,129,275
CIÊNCIAS MATEMÁTICA,21,34,55
CIÊNCIAS QUÍMICA,15,13,28
CIÊNCIAS SOCIAIS,235,83,318
COMUNICAÇÃO SOCIAL,114,61,175
DESIGN,97,104,201
DIREITO,416,367,783
ENFERMAGEM,774,150,924
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,66,41,107
ENGENHARIA AGRÍCOLA,62,81,143
ENGENHARIA AMBIENTAL,125,126,251
ENGENHARIA CIVIL,165,311,476
ENGENHARIA DE ALIMENTOS,226,86,312
ENGENHARIA DE BIOSSISTEMAS,53,45,98
ENGENHARIA DE MATERIAIS,121,99,220
ENGENHARIA DE MINAS,55,102,157
ENGENHARIA DE PETRÓLEO,74,86,160
ENGENHARIA DE PRODUÇÃO,141,128,269
ENGENHARIA ELÉTRICA,134,584,718
ENGENHARIA ELÉTRICA AUTOMAÇÃO,4,28,32
ENGENHARIA FLORESTAL,57,79,136
ENGENHARIA MECÂNICA,34,294,328
ENGENHARIA QUÍMICA,98,93,191
ESTATÍSTICA,15,14,29
FARMÁCIA,219,107,326
FILOSOFIA,27,36,63
FÍSICA,53,113,166
GEOGRAFIA,287,202,489
HISTÓRIA,352,252,604
INTERDISCIPLINAR EM EDUC. DO CAMPOD,66,46,112
LETRAS,487,139,626
MATEMÁTICA,130,155,285
MEDICINA,382,380,762
MEDICINA VETERINÁRIA,167,260,427
METEOROLOGIA,25,23,48
MÚSICA,11,83,94
NUTRIÇÃO,235,30,265
ODONTOLOGIA,179,98,277
PEDAGOGIA,529,22,551
PSICOLOGIA,150,45,195
QUÍMICA,118,77,195
SERVIÇO SOCIAL,104,10,114
TECNOLOGIA EM AGROECOLOGIA,41,50,91
TECNOLOGIA EM GESTÃO PÚBLICA,57,53,110
