Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,258,227,485
AGRONOMIA,99,138,237
ARQUITETURA E URBANISMO,112,58,170
ARTE E MÍDIA,57,49,106
CIÊNCIA DA COMPUTAÇÃO,128,587,715
CIÊNCIAS BIOLÓGICAS,324,184,508
CIÊNCIAS CONTÁBEIS,77,96,173
CIÊNCIAS ECONÔMICAS,64,119,183
CIÊNCIAS SOCIAIS,142,81,223
COMUNICAÇÃO SOCIAL,105,80,185
DESIGN,105,66,171
DIREITO,388,326,714
ENFERMAGEM,518,150,668
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,44,23,67
ENGENHARIA AGRÍCOLA,38,61,99
ENGENHARIA AMBIENTAL,64,51,115
ENGENHARIA CIVIL,261,466,727
ENGENHARIA DE ALIMENTOS,154,77,231
ENGENHARIA DE BIOSSISTEMAS,32,32,64
ENGENHARIA DE MATERIAIS,40,57,97
ENGENHARIA DE MINAS,30,40,70
ENGENHARIA DE PETRÓLEO,50,43,93
ENGENHARIA DE PRODUÇÃO,104,136,240
ENGENHARIA ELÉTRICA,148,572,720
ENGENHARIA FLORESTAL,38,42,80
ENGENHARIA MECÂNICA,57,198,255
ENGENHARIA QUÍMICA,76,59,135
ESTATÍSTICA,14,26,40
FARMÁCIA,233,125,358
FILOSOFIA,21,36,57
FÍSICA,107,179,286
GEOGRAFIA,186,223,409
HISTÓRIA,262,234,496
INTERDISCIPLINAR EM EDUC. DO CAMPOD,65,28,93
LETRAS,451,207,658
MATEMÁTICA,142,174,316
MEDICINA,298,347,645
MEDICINA VETERINÁRIA,253,169,422
METEOROLOGIA,23,11,34
MÚSICA,19,51,70
NUTRIÇÃO,247,63,310
ODONTOLOGIA,201,156,357
PEDAGOGIA,429,66,495
PSICOLOGIA,254,98,352
QUÍMICA,145,99,244
SERVIÇO SOCIAL,75,19,94
TECNOLOGIA EM AGROECOLOGIA,38,21,59
TECNOLOGIA EM GESTÃO PÚBLICA,53,23,76
