Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,247,286,533
ARTE E MÍDIA,58,73,131
CIÊNCIA DA COMPUTAÇÃO,46,241,287
CIÊNCIAS,73,65,138
CIÊNCIAS BIOLOGIA,73,17,90
CIÊNCIAS CONTÁBEIS,12,32,44
CIÊNCIAS ECONÔMICAS,163,187,350
CIÊNCIAS FÍSICA,0,5,5
CIÊNCIAS MATEMÁTICA,23,34,57
CIÊNCIAS QUÍMICA,24,15,39
CIÊNCIAS SOCIAIS,138,87,225
DESENHO INDUSTRIAL,82,77,159
DESIGN,3,6,9
DIREITO,241,416,657
ENGENHARIA AGRÍCOLA,45,80,125
ENGENHARIA CIVIL,105,318,423
ENGENHARIA DE MATERIAIS,117,99,216
ENGENHARIA DE MINAS,17,76,93
ENGENHARIA ELÉTRICA,48,399,447
ENGENHARIA ELÉTRICA AUTOMAÇÃO,12,92,104
ENGENHARIA FLORESTAL,28,43,71
ENGENHARIA MECÂNICA,14,270,284
ENGENHARIA QUÍMICA,90,80,170
FÍSICA,13,44,57
GEOGRAFIA,222,125,347
HISTÓRIA,426,291,717
LETRAS,532,145,677
MATEMÁTICA,58,115,173
MEDICINA,206,256,462
MEDICINA VETERINÁRIA,117,216,333
METEOROLOGIA,23,43,66
PEDAGOGIA,468,33,501
TECNOLOGIA QUÍMICA,0,2,2
