Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,320,342,662
AGRONOMIA,88,186,274
ARQUITETURA E URBANISMO,65,34,99
ARTE E MÍDIA,44,49,93
CIÊNCIA DA COMPUTAÇÃO,77,416,493
CIÊNCIAS BIOLOGIA,30,9,39
CIÊNCIAS BIOLÓGICAS,467,230,697
CIÊNCIAS CONTÁBEIS,99,114,213
CIÊNCIAS ECONÔMICAS,147,128,275
CIÊNCIAS MATEMÁTICA,16,26,42
CIÊNCIAS QUÍMICA,13,10,23
CIÊNCIAS SOCIAIS,257,88,345
COMUNICAÇÃO SOCIAL,104,54,158
DESIGN,108,98,206
DIREITO,443,403,846
ENFERMAGEM,788,146,934
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,91,55,146
ENGENHARIA AGRÍCOLA,61,101,162
ENGENHARIA AMBIENTAL,126,129,255
ENGENHARIA CIVIL,169,333,502
ENGENHARIA DE ALIMENTOS,246,99,345
ENGENHARIA DE BIOSSISTEMAS,71,60,131
ENGENHARIA DE MATERIAIS,120,118,238
ENGENHARIA DE MINAS,67,125,192
ENGENHARIA DE PETRÓLEO,91,102,193
ENGENHARIA DE PRODUÇÃO,163,168,331
ENGENHARIA ELÉTRICA,137,588,725
ENGENHARIA ELÉTRICA AUTOMAÇÃO,2,25,27
ENGENHARIA FLORESTAL,62,91,153
ENGENHARIA MECÂNICA,25,285,310
ENGENHARIA QUÍMICA,115,107,222
ESTATÍSTICA,21,26,47
FARMÁCIA,216,112,328
FILOSOFIA,38,50,88
FÍSICA,82,174,256
GEOGRAFIA,309,259,568
HISTÓRIA,326,256,582
INTERDISCIPLINAR EM EDUC. DO CAMPOD,93,52,145
LETRAS,461,150,611
MATEMÁTICA,160,212,372
MEDICINA,404,401,805
MEDICINA VETERINÁRIA,181,239,420
METEOROLOGIA,39,29,68
MÚSICA,11,84,95
NUTRIÇÃO,262,32,294
ODONTOLOGIA,191,112,303
PEDAGOGIA,559,20,579
PSICOLOGIA,168,53,221
QUÍMICA,139,125,264
SERVIÇO SOCIAL,138,14,152
TECNOLOGIA EM AGROECOLOGIA,69,65,134
TECNOLOGIA EM GESTÃO PÚBLICA,75,55,130
