Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,282,252,534
AGRONOMIA,37,117,154
ARTE E MÍDIA,58,63,121
CIÊNCIA DA COMPUTAÇÃO,49,249,298
CIÊNCIAS,51,85,136
CIÊNCIAS BIOLOGIA,67,32,99
CIÊNCIAS BIOLÓGICAS,115,39,154
CIÊNCIAS CONTÁBEIS,217,215,432
CIÊNCIAS ECONÔMICAS,166,159,325
CIÊNCIAS FÍSICA,1,3,4
CIÊNCIAS MATEMÁTICA,31,45,76
CIÊNCIAS QUÍMICA,22,15,37
CIÊNCIAS SOCIAIS,156,89,245
DESENHO INDUSTRIAL,60,58,118
DESIGN,30,22,52
DIREITO,292,398,690
ENFERMAGEM,138,40,178
ENGENHARIA AGRÍCOLA,49,55,104
ENGENHARIA AMBIENTAL,14,20,34
ENGENHARIA CIVIL,109,304,413
ENGENHARIA DE ALIMENTOS,23,14,37
ENGENHARIA DE MATERIAIS,126,90,216
ENGENHARIA DE MINAS,17,83,100
ENGENHARIA DE PRODUÇÃO,46,53,99
ENGENHARIA ELÉTRICA,61,420,481
ENGENHARIA ELÉTRICA AUTOMAÇÃO,12,80,92
ENGENHARIA FLORESTAL,50,64,114
ENGENHARIA MECÂNICA,16,264,280
ENGENHARIA QUÍMICA,93,75,168
FARMÁCIA,20,13,33
FÍSICA,31,74,105
GEOGRAFIA,217,110,327
HISTÓRIA,415,252,667
LETRAS,541,117,658
MATEMÁTICA,82,120,202
MEDICINA,222,269,491
MEDICINA VETERINÁRIA,125,216,341
METEOROLOGIA,34,35,69
PEDAGOGIA,515,23,538
QUÍMICA,56,25,81
