Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,244,228,472
AGRONOMIA,99,136,235
ARQUITETURA E URBANISMO,101,58,159
ARTE E MÍDIA,47,41,88
CIÊNCIA DA COMPUTAÇÃO,120,570,690
CIÊNCIAS BIOLÓGICAS,378,218,596
CIÊNCIAS CONTÁBEIS,95,115,210
CIÊNCIAS ECONÔMICAS,60,118,178
CIÊNCIAS SOCIAIS,159,76,235
COMUNICAÇÃO SOCIAL,88,59,147
DESIGN,99,60,159
DIREITO,452,392,844
ENFERMAGEM,509,148,657
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,51,30,81
ENGENHARIA AGRÍCOLA,39,68,107
ENGENHARIA AMBIENTAL,73,57,130
ENGENHARIA CIVIL,254,496,750
ENGENHARIA DE ALIMENTOS,179,86,265
ENGENHARIA DE BIOSSISTEMAS,37,46,83
ENGENHARIA DE MATERIAIS,65,78,143
ENGENHARIA DE MINAS,44,60,104
ENGENHARIA DE PETRÓLEO,56,62,118
ENGENHARIA DE PRODUÇÃO,123,159,282
ENGENHARIA ELÉTRICA,162,564,726
ENGENHARIA FLORESTAL,45,52,97
ENGENHARIA MECÂNICA,53,197,250
ENGENHARIA QUÍMICA,100,86,186
ESTATÍSTICA,18,31,49
FARMÁCIA,240,124,364
FILOSOFIA,17,47,64
FÍSICA,118,217,335
GEOGRAFIA,195,223,418
HISTÓRIA,235,235,470
INTERDISCIPLINAR EM EDUC. DO CAMPOD,67,33,100
LETRAS,478,219,697
MATEMÁTICA,167,222,389
MEDICINA,291,361,652
MEDICINA VETERINÁRIA,250,175,425
METEOROLOGIA,42,27,69
MÚSICA,22,60,82
NUTRIÇÃO,242,60,302
ODONTOLOGIA,200,160,360
PEDAGOGIA,428,69,497
PSICOLOGIA,253,90,343
QUÍMICA,175,116,291
SERVIÇO SOCIAL,94,22,116
TECNOLOGIA EM AGROECOLOGIA,43,33,76
TECNOLOGIA EM GESTÃO PÚBLICA,71,30,101
