Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,256,300,556
AGRONOMIA,97,173,270
ARQUITETURA E URBANISMO,97,59,156
ARTE E MÍDIA,45,46,91
CIÊNCIA DA COMPUTAÇÃO,108,616,724
CIÊNCIAS BIOLÓGICAS,395,239,634
CIÊNCIAS CONTÁBEIS,88,136,224
CIÊNCIAS ECONÔMICAS,61,131,192
CIÊNCIAS SOCIAIS,165,100,265
COMUNICAÇÃO SOCIAL,104,71,175
DESIGN,99,65,164
DIREITO,469,435,904
ENFERMAGEM,458,140,598
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,78,44,122
ENGENHARIA AGRÍCOLA,47,75,122
ENGENHARIA AMBIENTAL,84,103,187
ENGENHARIA CIVIL,254,569,823
ENGENHARIA DE ALIMENTOS,191,90,281
ENGENHARIA DE BIOSSISTEMAS,45,53,98
ENGENHARIA DE MATERIAIS,75,86,161
ENGENHARIA DE MINAS,49,81,130
ENGENHARIA DE PETRÓLEO,76,67,143
ENGENHARIA DE PRODUÇÃO,149,188,337
ENGENHARIA ELÉTRICA,171,666,837
ENGENHARIA FLORESTAL,42,63,105
ENGENHARIA MECÂNICA,41,245,286
ENGENHARIA QUÍMICA,110,98,208
ESTATÍSTICA,18,35,53
FARMÁCIA,242,134,376
FILOSOFIA,33,69,102
FÍSICA,104,241,345
GEOGRAFIA,201,294,495
HISTÓRIA,280,288,568
INTERDISCIPLINAR EM EDUC. DO CAMPOD,70,49,119
LETRAS,469,226,695
MATEMÁTICA,175,259,434
MEDICINA,319,349,668
MEDICINA VETERINÁRIA,255,184,439
METEOROLOGIA,35,37,72
MÚSICA,19,80,99
NUTRIÇÃO,248,70,318
ODONTOLOGIA,221,138,359
PEDAGOGIA,433,65,498
PSICOLOGIA,211,95,306
QUÍMICA,172,161,333
SERVIÇO SOCIAL,119,24,143
TECNOLOGIA EM AGROECOLOGIA,49,51,100
TECNOLOGIA EM GESTÃO PÚBLICA,75,61,136
