Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,233,223,456
AGRONOMIA,88,131,219
ARQUITETURA E URBANISMO,112,63,175
ARTE E MÍDIA,46,40,86
CIÊNCIA DA COMPUTAÇÃO,107,558,665
CIÊNCIAS BIOLÓGICAS,347,187,534
CIÊNCIAS CONTÁBEIS,78,99,177
CIÊNCIAS ECONÔMICAS,52,112,164
CIÊNCIAS SOCIAIS,162,74,236
COMUNICAÇÃO SOCIAL,111,71,182
DESIGN,95,58,153
DIREITO,404,356,760
ENFERMAGEM,480,131,611
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,51,32,83
ENGENHARIA AGRÍCOLA,26,53,79
ENGENHARIA AMBIENTAL,74,67,141
ENGENHARIA CIVIL,236,506,742
ENGENHARIA DE ALIMENTOS,154,78,232
ENGENHARIA DE BIOSSISTEMAS,35,36,71
ENGENHARIA DE MATERIAIS,47,56,103
ENGENHARIA DE MINAS,33,45,78
ENGENHARIA DE PETRÓLEO,51,50,101
ENGENHARIA DE PRODUÇÃO,107,131,238
ENGENHARIA ELÉTRICA,157,551,708
ENGENHARIA FLORESTAL,38,48,86
ENGENHARIA MECÂNICA,45,191,236
ENGENHARIA QUÍMICA,92,62,154
ESTATÍSTICA,14,21,35
FARMÁCIA,234,124,358
FILOSOFIA,12,36,48
FÍSICA,85,166,251
GEOGRAFIA,179,207,386
HISTÓRIA,232,234,466
INTERDISCIPLINAR EM EDUC. DO CAMPOD,69,30,99
LETRAS,413,191,604
MATEMÁTICA,134,183,317
MEDICINA,279,351,630
MEDICINA VETERINÁRIA,249,160,409
METEOROLOGIA,21,14,35
MÚSICA,24,75,99
NUTRIÇÃO,245,71,316
ODONTOLOGIA,207,149,356
PEDAGOGIA,404,63,467
PSICOLOGIA,243,89,332
QUÍMICA,140,97,237
SERVIÇO SOCIAL,86,14,100
TECNOLOGIA EM AGROECOLOGIA,37,29,66
TECNOLOGIA EM GESTÃO PÚBLICA,49,28,77
