Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,276,251,527
AGRONOMIA,93,127,220
ARQUITETURA E URBANISMO,109,54,163
ARTE E MÍDIA,47,47,94
CIÊNCIA DA COMPUTAÇÃO,149,636,785
CIÊNCIAS BIOLÓGICAS,391,221,612
CIÊNCIAS CONTÁBEIS,98,120,218
CIÊNCIAS ECONÔMICAS,80,154,234
CIÊNCIAS SOCIAIS,196,94,290
COMUNICAÇÃO SOCIAL,95,71,166
DESIGN,103,68,171
DIREITO,434,369,803
ENFERMAGEM,538,154,692
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,51,26,77
ENGENHARIA AGRÍCOLA,52,72,124
ENGENHARIA AMBIENTAL,52,48,100
ENGENHARIA CIVIL,263,501,764
ENGENHARIA DE ALIMENTOS,143,79,222
ENGENHARIA DE BIOSSISTEMAS,31,31,62
ENGENHARIA DE MATERIAIS,69,77,146
ENGENHARIA DE MINAS,41,60,101
ENGENHARIA DE PETRÓLEO,53,66,119
ENGENHARIA DE PRODUÇÃO,119,155,274
ENGENHARIA ELÉTRICA,152,614,766
ENGENHARIA FLORESTAL,35,44,79
ENGENHARIA MECÂNICA,61,205,266
ENGENHARIA QUÍMICA,104,81,185
ESTATÍSTICA,19,34,53
FARMÁCIA,236,125,361
FILOSOFIA,27,73,100
FÍSICA,154,240,394
GEOGRAFIA,225,269,494
HISTÓRIA,290,267,557
INTERDISCIPLINAR EM EDUC. DO CAMPOD,68,37,105
LETRAS,508,236,744
LICENCIATURA INTERCULTURAL INDÍGENA,2,0,2
MATEMÁTICA,181,245,426
MEDICINA,327,393,720
MEDICINA VETERINÁRIA,260,175,435
METEOROLOGIA,26,22,48
MÚSICA,18,44,62
NUTRIÇÃO,236,67,303
ODONTOLOGIA,228,169,397
PEDAGOGIA,453,57,510
PSICOLOGIA,271,102,373
QUÍMICA,182,106,288
SERVIÇO SOCIAL,117,16,133
TECNOLOGIA EM AGROECOLOGIA,40,27,67
TECNOLOGIA EM GESTÃO PÚBLICA,64,43,107
