Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,295,359,654
AGRONOMIA,92,180,272
ARQUITETURA E URBANISMO,77,39,116
ARTE E MÍDIA,56,57,113
CIÊNCIA DA COMPUTAÇÃO,84,439,523
CIÊNCIAS BIOLOGIA,20,3,23
CIÊNCIAS BIOLÓGICAS,483,242,725
CIÊNCIAS CONTÁBEIS,83,102,185
CIÊNCIAS ECONÔMICAS,120,125,245
CIÊNCIAS MATEMÁTICA,7,12,19
CIÊNCIAS QUÍMICA,10,5,15
CIÊNCIAS SOCIAIS,239,100,339
COMUNICAÇÃO SOCIAL,117,66,183
DESIGN,112,109,221
DIREITO,466,408,874
ENFERMAGEM,723,156,879
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,109,54,163
ENGENHARIA AGRÍCOLA,53,102,155
ENGENHARIA AMBIENTAL,119,132,251
ENGENHARIA CIVIL,181,336,517
ENGENHARIA DE ALIMENTOS,273,113,386
ENGENHARIA DE BIOSSISTEMAS,73,70,143
ENGENHARIA DE MATERIAIS,108,111,219
ENGENHARIA DE MINAS,68,132,200
ENGENHARIA DE PETRÓLEO,98,100,198
ENGENHARIA DE PRODUÇÃO,176,194,370
ENGENHARIA ELÉTRICA,167,614,781
ENGENHARIA ELÉTRICA AUTOMAÇÃO,0,11,11
ENGENHARIA FLORESTAL,63,86,149
ENGENHARIA MECÂNICA,37,268,305
ENGENHARIA QUÍMICA,118,108,226
ESTATÍSTICA,17,43,60
FARMÁCIA,219,106,325
FILOSOFIA,42,51,93
FÍSICA,81,178,259
GEOGRAFIA,302,281,583
HISTÓRIA,319,258,577
INTERDISCIPLINAR EM EDUC. DO CAMPOD,72,49,121
LETRAS,462,147,609
MATEMÁTICA,186,211,397
MEDICINA,358,356,714
MEDICINA VETERINÁRIA,188,236,424
METEOROLOGIA,43,36,79
MÚSICA,13,82,95
NUTRIÇÃO,289,44,333
ODONTOLOGIA,216,123,339
PEDAGOGIA,544,33,577
PSICOLOGIA,199,66,265
QUÍMICA,158,139,297
SERVIÇO SOCIAL,134,22,156
TECNOLOGIA EM AGROECOLOGIA,78,67,145
TECNOLOGIA EM GESTÃO PÚBLICA,66,66,132
