Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,264,248,512
ARTE E MÍDIA,59,64,123
CIÊNCIA DA COMPUTAÇÃO,39,247,286
CIÊNCIAS,54,74,128
CIÊNCIAS BIOLOGIA,77,26,103
CIÊNCIAS BIOLÓGICAS,54,23,77
CIÊNCIAS CONTÁBEIS,204,206,410
CIÊNCIAS ECONÔMICAS,166,186,352
CIÊNCIAS FÍSICA,1,4,5
CIÊNCIAS MATEMÁTICA,23,47,70
CIÊNCIAS QUÍMICA,27,21,48
CIÊNCIAS SOCIAIS,169,89,258
DESENHO INDUSTRIAL,73,62,135
DESIGN,19,14,33
DIREITO,286,421,707
ENFERMAGEM,77,19,96
ENGENHARIA AGRÍCOLA,57,64,121
ENGENHARIA CIVIL,114,295,409
ENGENHARIA DE MATERIAIS,120,97,217
ENGENHARIA DE MINAS,18,81,99
ENGENHARIA DE PRODUÇÃO,18,37,55
ENGENHARIA ELÉTRICA,61,401,462
ENGENHARIA ELÉTRICA AUTOMAÇÃO,9,84,93
ENGENHARIA FLORESTAL,37,57,94
ENGENHARIA MECÂNICA,13,268,281
ENGENHARIA QUÍMICA,87,69,156
FÍSICA,19,52,71
GEOGRAFIA,212,122,334
HISTÓRIA,426,273,699
LETRAS,546,126,672
MATEMÁTICA,69,122,191
MEDICINA,215,242,457
MEDICINA VETERINÁRIA,117,212,329
METEOROLOGIA,30,41,71
PEDAGOGIA,533,31,564
QUÍMICA,23,12,35
