Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,265,286,551
AGRONOMIA,102,173,275
ARQUITETURA E URBANISMO,113,70,183
ARTE E MÍDIA,57,53,110
CIÊNCIA DA COMPUTAÇÃO,114,630,744
CIÊNCIAS BIOLÓGICAS,372,227,599
CIÊNCIAS CONTÁBEIS,77,117,194
CIÊNCIAS ECONÔMICAS,67,137,204
CIÊNCIAS SOCIAIS,160,103,263
COMUNICAÇÃO SOCIAL,132,102,234
DESIGN,103,67,170
DIREITO,459,402,861
ENFERMAGEM,483,145,628
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,62,43,105
ENGENHARIA AGRÍCOLA,36,60,96
ENGENHARIA AMBIENTAL,86,92,178
ENGENHARIA CIVIL,265,561,826
ENGENHARIA DE ALIMENTOS,161,90,251
ENGENHARIA DE BIOSSISTEMAS,37,49,86
ENGENHARIA DE MATERIAIS,60,63,123
ENGENHARIA DE MINAS,45,60,105
ENGENHARIA DE PETRÓLEO,58,44,102
ENGENHARIA DE PRODUÇÃO,136,166,302
ENGENHARIA ELÉTRICA,182,663,845
ENGENHARIA FLORESTAL,34,55,89
ENGENHARIA MECÂNICA,43,244,287
ENGENHARIA QUÍMICA,103,84,187
ESTATÍSTICA,16,31,47
FARMÁCIA,253,134,387
FILOSOFIA,24,53,77
FÍSICA,87,204,291
GEOGRAFIA,191,273,464
HISTÓRIA,294,307,601
INTERDISCIPLINAR EM EDUC. DO CAMPOD,59,42,101
LETRAS,478,244,722
MATEMÁTICA,161,220,381
MEDICINA,323,361,684
MEDICINA VETERINÁRIA,277,185,462
METEOROLOGIA,27,26,53
MÚSICA,26,88,114
NUTRIÇÃO,258,73,331
ODONTOLOGIA,223,141,364
PEDAGOGIA,434,70,504
PSICOLOGIA,228,95,323
QUÍMICA,153,138,291
SERVIÇO SOCIAL,102,16,118
TECNOLOGIA EM AGROECOLOGIA,43,44,87
TECNOLOGIA EM GESTÃO PÚBLICA,55,44,99
