Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,281,217,498
AGRONOMIA,71,120,191
ARQUITETURA E URBANISMO,121,54,175
ARTE E MÍDIA,65,71,136
CIÊNCIA DA COMPUTAÇÃO,167,634,801
CIÊNCIAS BIOLÓGICAS,349,207,556
CIÊNCIAS CONTÁBEIS,87,91,178
CIÊNCIAS ECONÔMICAS,71,104,175
CIÊNCIAS SOCIAIS,149,94,243
COMUNICAÇÃO SOCIAL,112,87,199
DESIGN,125,83,208
DIREITO,408,315,723
ENFERMAGEM,555,149,704
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,35,16,51
ENGENHARIA AGRÍCOLA,44,57,101
ENGENHARIA AMBIENTAL,42,33,75
ENGENHARIA CIVIL,262,411,673
ENGENHARIA DE ALIMENTOS,116,74,190
ENGENHARIA DE BIOSSISTEMAS,24,20,44
ENGENHARIA DE MATERIAIS,43,66,109
ENGENHARIA DE MINAS,46,43,89
ENGENHARIA DE PETRÓLEO,35,33,68
ENGENHARIA DE PRODUÇÃO,87,105,192
ENGENHARIA ELÉTRICA,145,539,684
ENGENHARIA FLORESTAL,32,35,67
ENGENHARIA MECÂNICA,50,192,242
ENGENHARIA QUÍMICA,80,67,147
ESTATÍSTICA,10,19,29
FARMÁCIA,212,110,322
FILOSOFIA,20,53,73
FÍSICA,122,187,309
GEOGRAFIA,222,249,471
HISTÓRIA,318,261,579
INTERDISCIPLINAR EM EDUC. DO CAMPOD,49,33,82
LETRAS,465,214,679
MATEMÁTICA,154,215,369
MEDICINA,317,391,708
MEDICINA VETERINÁRIA,240,140,380
METEOROLOGIA,17,17,34
MÚSICA,16,63,79
NUTRIÇÃO,182,51,233
ODONTOLOGIA,205,133,338
PEDAGOGIA,479,62,541
PSICOLOGIA,266,92,358
QUÍMICA,156,89,245
SERVIÇO SOCIAL,103,15,118
TECNOLOGIA EM AGROECOLOGIA,22,9,31
TECNOLOGIA EM GESTÃO PÚBLICA,55,21,76
