Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,347,334,681
AGRONOMIA,90,168,258
ARQUITETURA E URBANISMO,49,23,72
ARTE E MÍDIA,63,57,120
CIÊNCIA DA COMPUTAÇÃO,77,428,505
CIÊNCIAS BIOLOGIA,51,28,79
CIÊNCIAS BIOLÓGICAS,373,174,547
CIÊNCIAS CONTÁBEIS,152,148,300
CIÊNCIAS ECONÔMICAS,158,108,266
CIÊNCIAS MATEMÁTICA,35,53,88
CIÊNCIAS QUÍMICA,21,21,42
CIÊNCIAS SOCIAIS,251,90,341
COMUNICAÇÃO SOCIAL,90,47,137
DESENHO INDUSTRIAL,4,0,4
DESIGN,102,98,200
DIREITO,394,358,752
ENFERMAGEM,706,141,847
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,66,41,107
ENGENHARIA AGRÍCOLA,63,70,133
ENGENHARIA AMBIENTAL,117,119,236
ENGENHARIA CIVIL,151,299,450
ENGENHARIA DE ALIMENTOS,219,88,307
ENGENHARIA DE BIOSSISTEMAS,46,49,95
ENGENHARIA DE MATERIAIS,141,105,246
ENGENHARIA DE MINAS,48,100,148
ENGENHARIA DE PETRÓLEO,54,58,112
ENGENHARIA DE PRODUÇÃO,146,119,265
ENGENHARIA ELÉTRICA,135,568,703
ENGENHARIA ELÉTRICA AUTOMAÇÃO,10,47,57
ENGENHARIA FLORESTAL,58,71,129
ENGENHARIA MECÂNICA,33,304,337
ENGENHARIA QUÍMICA,107,88,195
ESTATÍSTICA,15,14,29
FARMÁCIA,189,104,293
FILOSOFIA,30,32,62
FÍSICA,57,117,174
GEOGRAFIA,261,181,442
HISTÓRIA,357,252,609
INTERDISCIPLINAR EM EDUC. DO CAMPOD,58,40,98
LETRAS,504,133,637
LICENCIATURA INTERCULTURAL INDÍGENA,32,14,46
MATEMÁTICA,128,152,280
MEDICINA,378,392,770
MEDICINA VETERINÁRIA,167,239,406
METEOROLOGIA,23,18,41
MÚSICA,9,70,79
NUTRIÇÃO,188,21,209
ODONTOLOGIA,135,84,219
PEDAGOGIA,526,25,551
PSICOLOGIA,117,36,153
QUÍMICA,102,83,185
SERVIÇO SOCIAL,78,6,84
TECNOLOGIA EM AGROECOLOGIA,28,35,63
TECNOLOGIA EM GESTÃO PÚBLICA,52,40,92
