Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,274,218,492
AGRONOMIA,44,136,180
ARTE E MÍDIA,52,69,121
CIÊNCIA DA COMPUTAÇÃO,53,259,312
CIÊNCIAS,37,62,99
CIÊNCIAS BIOLOGIA,51,33,84
CIÊNCIAS BIOLÓGICAS,175,60,235
CIÊNCIAS CONTÁBEIS,222,200,422
CIÊNCIAS ECONÔMICAS,152,133,285
CIÊNCIAS FÍSICA,1,2,3
CIÊNCIAS MATEMÁTICA,34,51,85
CIÊNCIAS QUÍMICA,21,16,37
CIÊNCIAS SOCIAIS,158,73,231
DESENHO INDUSTRIAL,53,49,102
DESIGN,42,36,78
DIREITO,311,366,677
ENFERMAGEM,240,65,305
ENGENHARIA AGRÍCOLA,55,51,106
ENGENHARIA AMBIENTAL,41,51,92
ENGENHARIA CIVIL,113,290,403
ENGENHARIA DE ALIMENTOS,67,25,92
ENGENHARIA DE MATERIAIS,121,85,206
ENGENHARIA DE MINAS,17,89,106
ENGENHARIA DE PRODUÇÃO,67,68,135
ENGENHARIA ELÉTRICA,68,434,502
ENGENHARIA ELÉTRICA AUTOMAÇÃO,11,63,74
ENGENHARIA FLORESTAL,52,68,120
ENGENHARIA MECÂNICA,17,270,287
ENGENHARIA QUÍMICA,100,74,174
FARMÁCIA,62,41,103
FÍSICA,32,64,96
GEOGRAFIA,217,100,317
HISTÓRIA,397,235,632
LETRAS,533,108,641
MATEMÁTICA,100,108,208
MEDICINA,297,284,581
MEDICINA VETERINÁRIA,119,231,350
METEOROLOGIA,30,30,60
PEDAGOGIA,511,27,538
QUÍMICA,68,33,101
