Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,249,236,485
ARTE E MÍDIA,46,56,102
CIÊNCIA DA COMPUTAÇÃO,39,245,284
CIÊNCIAS,61,71,132
CIÊNCIAS BIOLOGIA,77,30,107
CIÊNCIAS CONTÁBEIS,34,46,80
CIÊNCIAS ECONÔMICAS,168,182,350
CIÊNCIAS FÍSICA,0,4,4
CIÊNCIAS MATEMÁTICA,25,39,64
CIÊNCIAS QUÍMICA,26,21,47
CIÊNCIAS SOCIAIS,154,78,232
DESENHO INDUSTRIAL,84,70,154
DESIGN,13,15,28
DIREITO,318,452,770
ENFERMAGEM,62,17,79
ENGENHARIA AGRÍCOLA,61,73,134
ENGENHARIA CIVIL,110,289,399
ENGENHARIA DE MATERIAIS,123,98,221
ENGENHARIA DE MINAS,20,81,101
ENGENHARIA DE PRODUÇÃO,20,43,63
ENGENHARIA ELÉTRICA,51,401,452
ENGENHARIA ELÉTRICA AUTOMAÇÃO,9,84,93
ENGENHARIA FLORESTAL,30,50,80
ENGENHARIA MECÂNICA,12,270,282
ENGENHARIA QUÍMICA,107,80,187
FÍSICA,15,45,60
GEOGRAFIA,191,121,312
HISTÓRIA,427,287,714
LETRAS,541,128,669
MATEMÁTICA,67,122,189
MEDICINA,216,242,458
MEDICINA VETERINÁRIA,115,223,338
METEOROLOGIA,30,42,72
PEDAGOGIA,495,29,524
