Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,258,230,488
ARTE E MÍDIA,53,55,108
CIÊNCIA DA COMPUTAÇÃO,47,246,293
CIÊNCIAS,49,78,127
CIÊNCIAS BIOLOGIA,73,30,103
CIÊNCIAS BIOLÓGICAS,73,30,103
CIÊNCIAS CONTÁBEIS,201,200,401
CIÊNCIAS ECONÔMICAS,171,160,331
CIÊNCIAS FÍSICA,1,3,4
CIÊNCIAS MATEMÁTICA,27,45,72
CIÊNCIAS QUÍMICA,23,14,37
CIÊNCIAS SOCIAIS,156,81,237
DESENHO INDUSTRIAL,71,60,131
DESIGN,25,19,44
DIREITO,315,455,770
ENFERMAGEM,94,21,115
ENGENHARIA AGRÍCOLA,60,66,126
ENGENHARIA CIVIL,114,288,402
ENGENHARIA DE MATERIAIS,112,90,202
ENGENHARIA DE MINAS,19,95,114
ENGENHARIA DE PRODUÇÃO,43,46,89
ENGENHARIA ELÉTRICA,58,393,451
ENGENHARIA ELÉTRICA AUTOMAÇÃO,12,84,96
ENGENHARIA FLORESTAL,39,59,98
ENGENHARIA MECÂNICA,15,270,285
ENGENHARIA QUÍMICA,103,76,179
FÍSICA,27,67,94
GEOGRAFIA,191,106,297
HISTÓRIA,416,261,677
LETRAS,551,122,673
MATEMÁTICA,86,129,215
MEDICINA,211,248,459
MEDICINA VETERINÁRIA,125,216,341
METEOROLOGIA,35,41,76
PEDAGOGIA,512,27,539
QUÍMICA,49,22,71
