Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,249,303,552
AGRONOMIA,85,159,244
ARQUITETURA E URBANISMO,109,66,175
ARTE E MÍDIA,45,61,106
CIÊNCIA DA COMPUTAÇÃO,101,512,613
CIÊNCIAS BIOLÓGICAS,394,268,662
CIÊNCIAS CONTÁBEIS,71,86,157
CIÊNCIAS ECONÔMICAS,72,124,196
CIÊNCIAS SOCIAIS,160,98,258
COMUNICAÇÃO SOCIAL,96,72,168
DESIGN,107,77,184
DIREITO,453,432,885
ENFERMAGEM,480,121,601
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,71,44,115
ENGENHARIA AGRÍCOLA,39,81,120
ENGENHARIA AMBIENTAL,111,121,232
ENGENHARIA CIVIL,242,485,727
ENGENHARIA DE ALIMENTOS,203,105,308
ENGENHARIA DE BIOSSISTEMAS,49,63,112
ENGENHARIA DE MATERIAIS,88,97,185
ENGENHARIA DE MINAS,70,106,176
ENGENHARIA DE PETRÓLEO,77,87,164
ENGENHARIA DE PRODUÇÃO,162,198,360
ENGENHARIA ELÉTRICA,196,671,867
ENGENHARIA FLORESTAL,48,67,115
ENGENHARIA MECÂNICA,40,274,314
ENGENHARIA QUÍMICA,134,119,253
ESTATÍSTICA,20,25,45
FARMÁCIA,208,117,325
FILOSOFIA,36,57,93
FÍSICA,91,219,310
GEOGRAFIA,222,264,486
HISTÓRIA,268,276,544
INTERDISCIPLINAR EM EDUC. DO CAMPOD,49,39,88
LETRAS,417,188,605
MATEMÁTICA,176,251,427
MEDICINA,285,292,577
MEDICINA VETERINÁRIA,224,184,408
METEOROLOGIA,29,36,65
MÚSICA,19,85,104
NUTRIÇÃO,222,52,274
ODONTOLOGIA,228,130,358
PEDAGOGIA,449,41,490
PSICOLOGIA,191,82,273
QUÍMICA,159,170,329
SERVIÇO SOCIAL,135,20,155
TECNOLOGIA EM AGROECOLOGIA,48,42,90
TECNOLOGIA EM GESTÃO PÚBLICA,70,66,136
