Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,281,334,615
AGRONOMIA,94,185,279
ARQUITETURA E URBANISMO,105,50,155
ARTE E MÍDIA,64,72,136
CIÊNCIA DA COMPUTAÇÃO,75,442,517
CIÊNCIAS BIOLOGIA,11,1,12
CIÊNCIAS BIOLÓGICAS,442,236,678
CIÊNCIAS CONTÁBEIS,93,112,205
CIÊNCIAS ECONÔMICAS,114,131,245
CIÊNCIAS MATEMÁTICA,4,7,11
CIÊNCIAS QUÍMICA,9,5,14
CIÊNCIAS SOCIAIS,213,92,305
COMUNICAÇÃO SOCIAL,139,89,228
DESIGN,113,106,219
DIREITO,439,377,816
ENFERMAGEM,685,135,820
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,101,46,147
ENGENHARIA AGRÍCOLA,41,76,117
ENGENHARIA AMBIENTAL,117,129,246
ENGENHARIA CIVIL,195,355,550
ENGENHARIA DE ALIMENTOS,257,104,361
ENGENHARIA DE BIOSSISTEMAS,61,58,119
ENGENHARIA DE MATERIAIS,100,95,195
ENGENHARIA DE MINAS,66,107,173
ENGENHARIA DE PETRÓLEO,83,86,169
ENGENHARIA DE PRODUÇÃO,163,178,341
ENGENHARIA ELÉTRICA,166,631,797
ENGENHARIA FLORESTAL,49,72,121
ENGENHARIA MECÂNICA,36,275,311
ENGENHARIA QUÍMICA,109,95,204
ESTATÍSTICA,12,28,40
FARMÁCIA,208,105,313
FILOSOFIA,34,45,79
FÍSICA,64,129,193
GEOGRAFIA,280,245,525
HISTÓRIA,326,268,594
INTERDISCIPLINAR EM EDUC. DO CAMPOD,61,38,99
LETRAS,432,148,580
MATEMÁTICA,161,181,342
MEDICINA,324,347,671
MEDICINA VETERINÁRIA,197,220,417
METEOROLOGIA,28,27,55
MÚSICA,16,85,101
NUTRIÇÃO,289,53,342
ODONTOLOGIA,234,124,358
PEDAGOGIA,515,34,549
PSICOLOGIA,215,80,295
QUÍMICA,141,122,263
SERVIÇO SOCIAL,122,22,144
TECNOLOGIA EM AGROECOLOGIA,70,55,125
TECNOLOGIA EM GESTÃO PÚBLICA,54,50,104
