Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,251,263,514
ARTE E MÍDIA,40,60,100
CIÊNCIA DA COMPUTAÇÃO,45,237,282
CIÊNCIAS,69,62,131
CIÊNCIAS BIOLOGIA,66,17,83
CIÊNCIAS ECONÔMICAS,164,172,336
CIÊNCIAS FÍSICA,0,4,4
CIÊNCIAS MATEMÁTICA,16,35,51
CIÊNCIAS QUÍMICA,25,11,36
CIÊNCIAS SOCIAIS,128,72,200
DESENHO INDUSTRIAL,77,70,147
DESIGN,0,1,1
DIREITO,284,480,764
ENGENHARIA AGRÍCOLA,51,81,132
ENGENHARIA CIVIL,117,336,453
ENGENHARIA DE MATERIAIS,114,112,226
ENGENHARIA DE MINAS,23,83,106
ENGENHARIA ELÉTRICA,44,363,407
ENGENHARIA ELÉTRICA AUTOMAÇÃO,15,96,111
ENGENHARIA FLORESTAL,33,43,76
ENGENHARIA MECÂNICA,10,288,298
ENGENHARIA QUÍMICA,112,83,195
FÍSICA,9,52,61
GEOGRAFIA,254,113,367
HISTÓRIA,439,283,722
LETRAS,557,136,693
MATEMÁTICA,64,130,194
MEDICINA,210,252,462
MEDICINA VETERINÁRIA,138,223,361
METEOROLOGIA,32,46,78
PEDAGOGIA,538,35,573
TECNOLOGIA QUÍMICA,6,9,15
