Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,243,302,545
AGRONOMIA,80,155,235
ARQUITETURA E URBANISMO,117,53,170
ARTE E MÍDIA,49,60,109
CIÊNCIA DA COMPUTAÇÃO,83,493,576
CIÊNCIAS BIOLÓGICAS,425,234,659
CIÊNCIAS CONTÁBEIS,77,85,162
CIÊNCIAS ECONÔMICAS,86,118,204
CIÊNCIAS SOCIAIS,168,102,270
COMUNICAÇÃO SOCIAL,99,81,180
DESIGN,116,80,196
DIREITO,423,435,858
ENFERMAGEM,539,119,658
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,79,47,126
ENGENHARIA AGRÍCOLA,35,86,121
ENGENHARIA AMBIENTAL,110,126,236
ENGENHARIA CIVIL,224,449,673
ENGENHARIA DE ALIMENTOS,212,121,333
ENGENHARIA DE BIOSSISTEMAS,59,60,119
ENGENHARIA DE MATERIAIS,97,106,203
ENGENHARIA DE MINAS,72,114,186
ENGENHARIA DE PETRÓLEO,91,89,180
ENGENHARIA DE PRODUÇÃO,172,212,384
ENGENHARIA ELÉTRICA,187,680,867
ENGENHARIA FLORESTAL,51,70,121
ENGENHARIA MECÂNICA,40,272,312
ENGENHARIA QUÍMICA,118,114,232
ESTATÍSTICA,16,29,45
FARMÁCIA,192,102,294
FILOSOFIA,34,45,79
FÍSICA,76,203,279
GEOGRAFIA,213,271,484
HISTÓRIA,290,262,552
INTERDISCIPLINAR EM EDUC. DO CAMPOD,50,41,91
LETRAS,416,161,577
MATEMÁTICA,178,226,404
MEDICINA,288,310,598
MEDICINA VETERINÁRIA,209,197,406
METEOROLOGIA,29,39,68
MÚSICA,19,75,94
NUTRIÇÃO,230,53,283
ODONTOLOGIA,233,128,361
PEDAGOGIA,462,33,495
PSICOLOGIA,200,91,291
QUÍMICA,152,151,303
SERVIÇO SOCIAL,124,23,147
TECNOLOGIA EM AGROECOLOGIA,51,45,96
TECNOLOGIA EM GESTÃO PÚBLICA,70,65,135
