Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,281,226,507
AGRONOMIA,49,150,199
ARTE E MÍDIA,46,59,105
CIÊNCIA DA COMPUTAÇÃO,53,262,315
CIÊNCIAS,37,70,107
CIÊNCIAS BIOLOGIA,60,33,93
CIÊNCIAS BIOLÓGICAS,135,53,188
CIÊNCIAS CONTÁBEIS,205,204,409
CIÊNCIAS ECONÔMICAS,162,162,324
CIÊNCIAS FÍSICA,1,2,3
CIÊNCIAS MATEMÁTICA,31,47,78
CIÊNCIAS QUÍMICA,23,15,38
CIÊNCIAS SOCIAIS,163,81,244
DESENHO INDUSTRIAL,62,52,114
DESIGN,36,29,65
DIREITO,321,397,718
ENFERMAGEM,184,56,240
ENGENHARIA AGRÍCOLA,57,70,127
ENGENHARIA AMBIENTAL,30,42,72
ENGENHARIA CIVIL,114,286,400
ENGENHARIA DE ALIMENTOS,53,22,75
ENGENHARIA DE MATERIAIS,147,96,243
ENGENHARIA DE MINAS,21,96,117
ENGENHARIA DE PRODUÇÃO,69,75,144
ENGENHARIA ELÉTRICA,64,425,489
ENGENHARIA ELÉTRICA AUTOMAÇÃO,10,70,80
ENGENHARIA FLORESTAL,62,76,138
ENGENHARIA MECÂNICA,20,260,280
ENGENHARIA QUÍMICA,111,76,187
FARMÁCIA,47,25,72
FÍSICA,37,90,127
GEOGRAFIA,200,102,302
HISTÓRIA,435,254,689
LETRAS,538,110,648
MATEMÁTICA,110,128,238
MEDICINA,251,270,521
MEDICINA VETERINÁRIA,119,221,340
METEOROLOGIA,40,47,87
PEDAGOGIA,494,32,526
QUÍMICA,64,29,93
