Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,240,264,504
ARTE E MÍDIA,45,65,110
CIÊNCIA DA COMPUTAÇÃO,45,250,295
CIÊNCIAS,74,63,137
CIÊNCIAS BIOLOGIA,73,20,93
CIÊNCIAS ECONÔMICAS,162,180,342
CIÊNCIAS FÍSICA,0,4,4
CIÊNCIAS MATEMÁTICA,16,35,51
CIÊNCIAS QUÍMICA,25,13,38
CIÊNCIAS SOCIAIS,126,85,211
DESENHO INDUSTRIAL,80,76,156
DESIGN,2,2,4
DIREITO,252,444,696
ENGENHARIA AGRÍCOLA,52,79,131
ENGENHARIA CIVIL,112,318,430
ENGENHARIA DE MATERIAIS,119,102,221
ENGENHARIA DE MINAS,19,84,103
ENGENHARIA ELÉTRICA,41,376,417
ENGENHARIA ELÉTRICA AUTOMAÇÃO,16,93,109
ENGENHARIA FLORESTAL,27,45,72
ENGENHARIA MECÂNICA,10,271,281
ENGENHARIA QUÍMICA,104,93,197
FÍSICA,11,47,58
GEOGRAFIA,197,110,307
HISTÓRIA,422,275,697
LETRAS,531,133,664
MATEMÁTICA,66,134,200
MEDICINA,203,253,456
MEDICINA VETERINÁRIA,119,218,337
METEOROLOGIA,26,40,66
PEDAGOGIA,488,38,526
TECNOLOGIA QUÍMICA,4,7,11
