Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,319,276,595
AGRONOMIA,62,158,220
ARTE E MÍDIA,42,46,88
CIÊNCIA DA COMPUTAÇÃO,57,338,395
CIÊNCIAS,16,36,52
CIÊNCIAS BIOLOGIA,66,31,97
CIÊNCIAS BIOLÓGICAS,296,125,421
CIÊNCIAS CONTÁBEIS,172,167,339
CIÊNCIAS ECONÔMICAS,158,109,267
CIÊNCIAS MATEMÁTICA,38,56,94
CIÊNCIAS QUÍMICA,22,20,42
CIÊNCIAS SOCIAIS,215,94,309
DESENHO INDUSTRIAL,24,28,52
DESIGN,77,70,147
DIREITO,397,412,809
ENFERMAGEM,512,113,625
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,51,39,90
ENGENHARIA AGRÍCOLA,68,71,139
ENGENHARIA AMBIENTAL,77,92,169
ENGENHARIA CIVIL,130,285,415
ENGENHARIA DE ALIMENTOS,187,62,249
ENGENHARIA DE BIOSSISTEMAS,48,46,94
ENGENHARIA DE MATERIAIS,146,96,242
ENGENHARIA DE MINAS,37,112,149
ENGENHARIA DE PETRÓLEO,36,57,93
ENGENHARIA DE PRODUÇÃO,149,117,266
ENGENHARIA ELÉTRICA,101,488,589
ENGENHARIA ELÉTRICA AUTOMAÇÃO,11,51,62
ENGENHARIA FLORESTAL,65,86,151
ENGENHARIA MECÂNICA,21,290,311
ENGENHARIA QUÍMICA,116,95,211
ESTATÍSTICA,13,11,24
FARMÁCIA,122,75,197
FILOSOFIA,21,30,51
FÍSICA,71,123,194
GEOGRAFIA,213,132,345
HISTÓRIA,379,222,601
INTERDISCIPLINAR EM EDUC. DO CAMPOD,45,23,68
LETRAS,527,125,652
LICENCIATURA INTERCULTURAL INDÍGENA,34,14,48
MATEMÁTICA,141,176,317
MEDICINA,341,362,703
MEDICINA VETERINÁRIA,140,225,365
METEOROLOGIA,42,34,76
MÚSICA,4,21,25
NUTRIÇÃO,96,15,111
ODONTOLOGIA,68,53,121
PEDAGOGIA,481,22,503
PSICOLOGIA,32,11,43
QUÍMICA,93,68,161
SERVIÇO SOCIAL,43,4,47
TECNOLOGIA EM AGROECOLOGIA,16,27,43
TECNOLOGIA EM GESTÃO PÚBLICA,26,24,50
