Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,236,255,491
ARTE E MÍDIA,52,69,121
CIÊNCIA DA COMPUTAÇÃO,43,246,289
CIÊNCIAS,75,71,146
CIÊNCIAS BIOLOGIA,80,22,102
CIÊNCIAS CONTÁBEIS,10,26,36
CIÊNCIAS ECONÔMICAS,167,179,346
CIÊNCIAS FÍSICA,0,5,5
CIÊNCIAS MATEMÁTICA,22,36,58
CIÊNCIAS QUÍMICA,28,17,45
CIÊNCIAS SOCIAIS,144,84,228
DESENHO INDUSTRIAL,87,77,164
DESIGN,3,8,11
DIREITO,288,439,727
ENFERMAGEM,26,4,30
ENGENHARIA AGRÍCOLA,56,86,142
ENGENHARIA CIVIL,101,299,400
ENGENHARIA DE MATERIAIS,114,107,221
ENGENHARIA DE MINAS,19,83,102
ENGENHARIA ELÉTRICA,51,406,457
ENGENHARIA ELÉTRICA AUTOMAÇÃO,12,96,108
ENGENHARIA FLORESTAL,41,51,92
ENGENHARIA MECÂNICA,12,277,289
ENGENHARIA QUÍMICA,99,92,191
FÍSICA,16,51,67
GEOGRAFIA,201,129,330
HISTÓRIA,431,283,714
LETRAS,565,143,708
MATEMÁTICA,72,129,201
MEDICINA,202,254,456
MEDICINA VETERINÁRIA,117,214,331
METEOROLOGIA,28,44,72
PEDAGOGIA,507,30,537
