Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,279,225,504
AGRONOMIA,76,110,186
ARQUITETURA E URBANISMO,111,50,161
ARTE E MÍDIA,56,55,111
CIÊNCIA DA COMPUTAÇÃO,152,608,760
CIÊNCIAS BIOLÓGICAS,396,220,616
CIÊNCIAS CONTÁBEIS,93,107,200
CIÊNCIAS ECONÔMICAS,82,127,209
CIÊNCIAS SOCIAIS,165,101,266
COMUNICAÇÃO SOCIAL,95,60,155
DESIGN,122,70,192
DIREITO,472,352,824
ENFERMAGEM,558,147,705
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,38,18,56
ENGENHARIA AGRÍCOLA,49,71,120
ENGENHARIA AMBIENTAL,47,36,83
ENGENHARIA CIVIL,260,455,715
ENGENHARIA DE ALIMENTOS,129,79,208
ENGENHARIA DE BIOSSISTEMAS,26,25,51
ENGENHARIA DE MATERIAIS,52,85,137
ENGENHARIA DE MINAS,49,52,101
ENGENHARIA DE PETRÓLEO,50,54,104
ENGENHARIA DE PRODUÇÃO,102,135,237
ENGENHARIA ELÉTRICA,148,563,711
ENGENHARIA FLORESTAL,45,42,87
ENGENHARIA MECÂNICA,53,205,258
ENGENHARIA QUÍMICA,97,79,176
ESTATÍSTICA,15,25,40
FARMÁCIA,227,111,338
FILOSOFIA,25,69,94
FÍSICA,135,219,354
GEOGRAFIA,225,266,491
HISTÓRIA,303,264,567
INTERDISCIPLINAR EM EDUC. DO CAMPOD,61,36,97
LETRAS,492,236,728
MATEMÁTICA,188,258,446
MEDICINA,327,407,734
MEDICINA VETERINÁRIA,267,157,424
METEOROLOGIA,21,21,42
MÚSICA,16,47,63
NUTRIÇÃO,186,58,244
ODONTOLOGIA,215,153,368
PEDAGOGIA,479,59,538
PSICOLOGIA,268,97,365
QUÍMICA,173,108,281
SERVIÇO SOCIAL,114,22,136
TECNOLOGIA EM AGROECOLOGIA,28,14,42
TECNOLOGIA EM GESTÃO PÚBLICA,73,35,108
