Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,225,291,516
AGRONOMIA,80,154,234
ARQUITETURA E URBANISMO,125,70,195
ARTE E MÍDIA,57,73,130
CIÊNCIA DA COMPUTAÇÃO,100,496,596
CIÊNCIAS BIOLÓGICAS,376,221,597
CIÊNCIAS CONTÁBEIS,94,110,204
CIÊNCIAS ECONÔMICAS,76,113,189
CIÊNCIAS SOCIAIS,141,99,240
COMUNICAÇÃO SOCIAL,120,91,211
DESIGN,109,82,191
DIREITO,412,395,807
ENFERMAGEM,503,122,625
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,65,40,105
ENGENHARIA AGRÍCOLA,27,68,95
ENGENHARIA AMBIENTAL,111,125,236
ENGENHARIA CIVIL,239,469,708
ENGENHARIA DE ALIMENTOS,182,104,286
ENGENHARIA DE BIOSSISTEMAS,48,57,105
ENGENHARIA DE MATERIAIS,85,74,159
ENGENHARIA DE MINAS,63,103,166
ENGENHARIA DE PETRÓLEO,77,78,155
ENGENHARIA DE PRODUÇÃO,155,182,337
ENGENHARIA ELÉTRICA,194,693,887
ENGENHARIA FLORESTAL,42,61,103
ENGENHARIA MECÂNICA,42,305,347
ENGENHARIA QUÍMICA,113,108,221
ESTATÍSTICA,14,18,32
FARMÁCIA,204,100,304
FILOSOFIA,26,35,61
FÍSICA,64,161,225
GEOGRAFIA,207,242,449
HISTÓRIA,283,278,561
INTERDISCIPLINAR EM EDUC. DO CAMPOD,43,36,79
LETRAS,406,163,569
MATEMÁTICA,154,182,336
MEDICINA,283,276,559
MEDICINA VETERINÁRIA,222,185,407
METEOROLOGIA,19,21,40
MÚSICA,21,89,110
NUTRIÇÃO,223,49,272
ODONTOLOGIA,232,128,360
PEDAGOGIA,459,40,499
PSICOLOGIA,195,82,277
QUÍMICA,129,138,267
SERVIÇO SOCIAL,117,14,131
TECNOLOGIA EM AGROECOLOGIA,41,33,74
TECNOLOGIA EM GESTÃO PÚBLICA,59,54,113
