Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,249,243,492
ARTE E MÍDIA,27,46,73
CIÊNCIA DA COMPUTAÇÃO,46,219,265
CIÊNCIAS,76,57,133
CIÊNCIAS BIOLOGIA,52,14,66
CIÊNCIAS ECONÔMICAS,168,156,324
CIÊNCIAS FÍSICA,0,5,5
CIÊNCIAS MATEMÁTICA,13,32,45
CIÊNCIAS QUÍMICA,14,10,24
CIÊNCIAS SOCIAIS,120,62,182
DESENHO INDUSTRIAL,66,63,129
DIREITO,234,425,659
ENGENHARIA AGRÍCOLA,55,72,127
ENGENHARIA CIVIL,111,319,430
ENGENHARIA DE MATERIAIS,101,107,208
ENGENHARIA DE MINAS,23,74,97
ENGENHARIA ELÉTRICA,45,320,365
ENGENHARIA ELÉTRICA AUTOMAÇÃO,10,84,94
ENGENHARIA FLORESTAL,28,48,76
ENGENHARIA MECÂNICA,8,287,295
ENGENHARIA QUÍMICA,103,83,186
FÍSICA,8,50,58
GEOGRAFIA,203,96,299
HISTÓRIA,384,255,639
LETRAS,519,123,642
MATEMÁTICA,66,120,186
MEDICINA,204,252,456
MEDICINA VETERINÁRIA,134,215,349
METEOROLOGIA,31,41,72
PEDAGOGIA,548,35,583
TECNOLOGIA QUÍMICA,12,12,24
