Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,253,284,537
AGRONOMIA,97,154,251
ARQUITETURA E URBANISMO,109,66,175
ARTE E MÍDIA,54,61,115
CIÊNCIA DA COMPUTAÇÃO,99,580,679
CIÊNCIAS BIOLÓGICAS,332,221,553
CIÊNCIAS CONTÁBEIS,81,110,191
CIÊNCIAS ECONÔMICAS,58,135,193
CIÊNCIAS SOCIAIS,154,84,238
COMUNICAÇÃO SOCIAL,119,88,207
DESIGN,96,66,162
DIREITO,439,398,837
ENFERMAGEM,450,132,582
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,63,42,105
ENGENHARIA AGRÍCOLA,37,62,99
ENGENHARIA AMBIENTAL,101,107,208
ENGENHARIA CIVIL,261,558,819
ENGENHARIA DE ALIMENTOS,179,89,268
ENGENHARIA DE BIOSSISTEMAS,46,52,98
ENGENHARIA DE MATERIAIS,67,72,139
ENGENHARIA DE MINAS,49,72,121
ENGENHARIA DE PETRÓLEO,59,60,119
ENGENHARIA DE PRODUÇÃO,139,168,307
ENGENHARIA ELÉTRICA,170,678,848
ENGENHARIA FLORESTAL,44,59,103
ENGENHARIA MECÂNICA,37,254,291
ENGENHARIA QUÍMICA,112,92,204
ESTATÍSTICA,17,19,36
FARMÁCIA,236,128,364
FILOSOFIA,21,51,72
FÍSICA,76,192,268
GEOGRAFIA,195,256,451
HISTÓRIA,281,288,569
INTERDISCIPLINAR EM EDUC. DO CAMPOD,48,41,89
LETRAS,409,209,618
MATEMÁTICA,157,205,362
MEDICINA,309,331,640
MEDICINA VETERINÁRIA,239,179,418
METEOROLOGIA,24,19,43
MÚSICA,21,87,108
NUTRIÇÃO,238,66,304
ODONTOLOGIA,223,141,364
PEDAGOGIA,414,61,475
PSICOLOGIA,208,94,302
QUÍMICA,145,129,274
SERVIÇO SOCIAL,104,17,121
TECNOLOGIA EM AGROECOLOGIA,33,38,71
TECNOLOGIA EM GESTÃO PÚBLICA,55,46,101
