Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,281,328,609
AGRONOMIA,85,177,262
ARQUITETURA E URBANISMO,98,50,148
ARTE E MÍDIA,54,61,115
CIÊNCIA DA COMPUTAÇÃO,75,463,538
CIÊNCIAS BIOLOGIA,4,1,5
CIÊNCIAS BIOLÓGICAS,476,258,734
CIÊNCIAS CONTÁBEIS,81,93,174
CIÊNCIAS ECONÔMICAS,99,134,233
CIÊNCIAS MATEMÁTICA,4,5,9
CIÊNCIAS QUÍMICA,2,3,5
CIÊNCIAS SOCIAIS,204,105,309
COMUNICAÇÃO SOCIAL,121,82,203
DESIGN,117,100,217
DIREITO,444,397,841
ENFERMAGEM,633,125,758
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,98,48,146
ENGENHARIA AGRÍCOLA,42,91,133
ENGENHARIA AMBIENTAL,118,127,245
ENGENHARIA CIVIL,193,377,570
ENGENHARIA DE ALIMENTOS,250,123,373
ENGENHARIA DE BIOSSISTEMAS,58,70,128
ENGENHARIA DE MATERIAIS,119,110,229
ENGENHARIA DE MINAS,73,116,189
ENGENHARIA DE PETRÓLEO,89,102,191
ENGENHARIA DE PRODUÇÃO,175,217,392
ENGENHARIA ELÉTRICA,174,650,824
ENGENHARIA FLORESTAL,49,75,124
ENGENHARIA MECÂNICA,40,291,331
ENGENHARIA QUÍMICA,122,94,216
ESTATÍSTICA,16,35,51
FARMÁCIA,194,112,306
FILOSOFIA,40,58,98
FÍSICA,70,180,250
GEOGRAFIA,262,268,530
HISTÓRIA,306,256,562
INTERDISCIPLINAR EM EDUC. DO CAMPOD,63,42,105
LETRAS,424,167,591
MATEMÁTICA,189,206,395
MEDICINA,311,335,646
MEDICINA VETERINÁRIA,198,196,394
METEOROLOGIA,31,40,71
MÚSICA,15,76,91
NUTRIÇÃO,246,57,303
ODONTOLOGIA,229,121,350
PEDAGOGIA,506,36,542
PSICOLOGIA,205,89,294
QUÍMICA,166,149,315
SERVIÇO SOCIAL,127,27,154
TECNOLOGIA EM AGROECOLOGIA,69,53,122
TECNOLOGIA EM GESTÃO PÚBLICA,67,62,129
