Curso,Feminino,Masculino,Total
ADMINISTRAÇÃO,279,229,508
AGRONOMIA,84,114,198
ARQUITETURA E URBANISMO,119,59,178
ARTE E MÍDIA,61,63,124
CIÊNCIA DA COMPUTAÇÃO,153,624,777
CIÊNCIAS BIOLÓGICAS,365,210,575
CIÊNCIAS CONTÁBEIS,85,100,185
CIÊNCIAS ECONÔMICAS,69,121,190
CIÊNCIAS SOCIAIS,172,97,269
COMUNICAÇÃO SOCIAL,119,84,203
DESIGN,115,70,185
DIREITO,386,325,711
ENFERMAGEM,560,152,712
ENG. DE BIOTECNOLOGIA E BIOPROCESSOS,39,21,60
ENGENHARIA AGRÍCOLA,39,59,98
ENGENHARIA AMBIENTAL,53,37,90
ENGENHARIA CIVIL,270,493,763
ENGENHARIA DE ALIMENTOS,110,64,174
ENGENHARIA DE BIOSSISTEMAS,24,25,49
ENGENHARIA DE MATERIAIS,54,67,121
ENGENHARIA DE MINAS,35,44,79
ENGENHARIA DE PETRÓLEO,44,41,85
ENGENHARIA DE PRODUÇÃO,99,119,218
ENGENHARIA ELÉTRICA,142,573,715
ENGENHARIA FLORESTAL,30,33,63
ENGENHARIA MECÂNICA,52,196,248
ENGENHARIA QUÍMICA,79,73,152
ESTATÍSTICA,17,26,43
FARMÁCIA,242,110,352
FILOSOFIA,20,57,77
FÍSICA,112,192,304
GEOGRAFIA,203,244,447
HISTÓRIA,287,254,541
INTERDISCIPLINAR EM EDUC. DO CAMPOD,61,29,90
LETRAS,471,219,690
MATEMÁTICA,161,213,374
MEDICINA,323,399,722
MEDICINA VETERINÁRIA,261,155,416
METEOROLOGIA,15,17,32
MÚSICA,15,55,70
NUTRIÇÃO,213,57,270
ODONTOLOGIA,210,160,370
PEDAGOGIA,452,66,518
PSICOLOGIA,271,100,371
QUÍMICA,152,88,240
SERVIÇO SOCIAL,94,13,107
TECNOLOGIA EM AGROECOLOGIA,30,16,46
TECNOLOGIA EM GESTÃO PÚBLICA,50,25,75
