Quantidade de graduados de 2007 por curso e período,,,
Curso \ Período,2007.1,2007.2,Total curso
11104100 - DESENHO INDUSTRIAL - D,17,8,25
11105150 - FÍSICA (BAC) - D,1,1,2
11107110 - MATEMÁTICA (LIC) - D,10,5,15
11107150 - MATEMÁTICA (BAC) - D,0,2,2
11107210 - MATEMÁTICA (LIC) - N,8,6,14
11124100 - ENGENHARIA MECÂNICA - D,11,22,33
11126100 - ENGENHARIA DE MATERIAIS - D,9,15,24
11128100 - ENGENHARIA QUÍMICA - D,10,10,20
12205100 - MEDICINA,37,38,75
13301151 - ADMINISTRAÇÃO (PÚBLICA) - D,0,2,2
13301152 - ADMINISTRAÇÃO (EMPRESA) - D,20,22,42
13301252 - ADMINISTRAÇÃO (EMPRESA) - N,11,13,24
13304100 - CIÊNCIAS ECONÔMICAS - M,13,8,21
13304200 - CIÊNCIAS ECONÔMICAS - N,13,8,21
13305110 - CIÊNCIAS SOCIAIS (LIC) - D,3,3,6
13305150 - CIÊNCIAS SOCIAIS (BAC) - D,1,4,5
13305210 - CIÊNCIAS SOCIAIS (LIC) - N,8,5,13
13305250 - CIÊNCIAS SOCIAIS (BAC) - N,1,0,1
13309110 - HISTÓRIA (LIC) - D,8,17,25
13309150 - HISTÓRIA (BAC) - M,6,3,9
13309211 - HISTÓRIA (LIC) - N,11,5,16
13309212 - HISTÓRIA (BAC) - N,1,1,2
13310111 - LETRAS - LÍNGUA E LIT. PORTUGUESA - D,7,6,13
13310113 - LETRAS - LÍNGUA E LIT. INGLESA - D,6,1,7
13310211 - LETRAS - LÍNGUA E LIT. PORTUGUESA - N,8,3,11
13310213 - LETRAS - LÍNGUA E LIT. INGLESA - N,1,0,1
13312111 - PEDAGOGIA(LIC.PL/MAG.SÉR.INIC.1.GRAU)-M,3,13,16
13312112 - PEDAGOGIA(LIC.PL/MAG.MAT.PED.2.GRAU)-M,1,0,1
13312113 - PEDAGOGIA(LIC.PL/EDUC.EXC.DEF.AUDIOC.)-M,4,2,6
13312211 - PEDAGOGIA(LIC PL/MAG SÉR INIC 1ºGRAU)-N,8,6,14
13317100 - ARTE E MÍDIA - D,9,5,14
14102100 - CIÊNCIA DA COMPUTAÇÃO - D,21,17,38
14123110 - ENGENHARIA ELÉTRICA (ELETRÔNICA) - D,4,2,6
14123111 - ENGENHARIA ELÉTRICA (ELETROTÉCNICA) - D,5,15,20
14123112 - ENGENHARIA ELÉTRICA (TELECOMUNICAÇÕES) -,9,6,15
14123113 - ENGENHARIA ELÉTRICA(CONTROLE E AUTOMAÇÃO,10,19,29
14123116 - ENGENHARIA ELÉTRICA(ELETROTÉ/CONT AUTOM),0,1,1
15108100 - METEOROLOGIA - D,1,3,4
15121100 - ENGENHARIA AGRÍCOLA - D,7,8,15
15122100 - ENGENHARIA CIVIL - D,15,27,42
15127100 - ENGENHARIA DE MINAS - D,5,5,10
21103112 - CIÊNCIAS - MATEMÁTICA (LIC) - M,7,3,10
21103113 - CIÊNCIAS - BIOLOGIA (LIC) - M,3,12,15
21103114 - CIÊNCIAS - FÍSICA (LIC) - M,1,1,2
21103115 - CIÊNCIAS - QUÍMICA (LIC) - M,1,4,5
21103212 - CIÊNCIAS - MATEMÁTICA (LIC) - N,1,4,5
21103213 - CIÊNCIAS - BIOLOGIA (LIC) - N,8,5,13
21103215 - CIÊNCIAS - QUÍMICA (LIC) - N,2,4,6
21309110 - HISTÓRIA (LIC) - M,24,4,28
21309210 - HISTÓRIA (LIC) - N,11,7,18
Curso \ Período,2007.1,2007.2,Total curso
21310111 - LETRAS - LÍNGUA VERNÁCULA (LIC) - M,8,20,28
21310112 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - M,9,15,24
21310211 - LETRAS - LÍNGUA VERNÁCULA (LIC) - N,11,5,16
21310212 - LETRAS - LÍNG.VERNÁCULA/ING. (LIC) - N,10,5,15
21312112 - PEDAGOGIA(LIC.PLENA) SUPERV.ESCOLAR - M,0,3,3
21312113 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-M,4,14,18
21312211 - PEDAGOGIA (LIC PLENA) ADM. ESCOLAR - N,1,5,6
21312212 - PEDAGOGIA (LIC PLENA) SUPERV.ESCOLAR - N,4,4,8
21312213 - PEDAGOGIA(L.P)DOC.SÉR.INIC.ENS.FUNDAM.-N,5,19,24
21316110 - GEOGRAFIA (LICENCIATURA) - M,5,34,39
21316210 - GEOGRAFIA (LICENCIATURA) - N,2,21,23
31350100 - DIREITO - M,28,52,80
31350200 - DIREITO - N,32,40,72
31350300 - DIREITO - V,0,40,40
31360200 - CIÊNCIAS CONTÁBEIS - N,0,19,19
41403100 - ENGENHARIA FLORESTAL - D,2,3,5
41410100 - MEDICINA VETERINÁRIA - D,26,33,59
Total período,528,713,1241
